"Plot-Titel: GAS_TS_2"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309864, SEN S/N: 21309864)","Intensität, Lux (LGR S/N: 21309864, SEN S/N: 21309864)"
1,06.14.22 10:09:09 AM,20.329,376.7
2,06.14.22 10:39:09 AM,22.908,38578.0
3,06.14.22 11:09:09 AM,20.805,10333.4
4,06.14.22 11:39:09 AM,19.282,9644.5
5,06.14.22 12:09:09 PM,20.424,15155.7
6,06.14.22 12:39:09 PM,19.472,19289.0
7,06.14.22 01:09:09 PM,18.616,11022.3
8,06.14.22 01:39:09 PM,22.238,14466.8
9,06.14.22 02:09:09 PM,24.255,18600.1
10,06.14.22 02:39:09 PM,21.855,13089.0
11,06.14.22 03:09:09 PM,23.484,37200.2
12,06.14.22 03:39:09 PM,24.545,30311.3
13,06.14.22 04:09:09 PM,25.028,22044.6
14,06.14.22 04:39:09 PM,23.869,17222.3
15,06.14.22 05:09:09 PM,22.812,9300.1
16,06.14.22 05:39:09 PM,23.292,16533.4
17,06.14.22 06:09:09 PM,24.641,20666.8
18,06.14.22 06:39:09 PM,23.581,17222.3
19,06.14.22 07:09:09 PM,21.473,10677.8
20,06.14.22 07:39:09 PM,19.472,4650.0
21,06.14.22 08:09:09 PM,18.711,1808.3
22,06.14.22 08:39:09 PM,18.140,2411.1
23,06.14.22 09:09:09 PM,17.189,1280.9
24,06.14.22 09:39:09 PM,15.951,64.6
25,06.14.22 10:09:09 PM,14.517,0.0
26,06.14.22 10:39:09 PM,12.980,0.0
27,06.14.22 11:09:09 PM,11.139,0.0
28,06.14.22 11:39:09 PM,10.455,0.0
29,06.15.22 12:09:09 AM,9.472,0.0
30,06.15.22 12:39:09 AM,8.978,0.0
31,06.15.22 01:09:09 AM,8.581,0.0
32,06.15.22 01:39:09 AM,8.282,0.0
33,06.15.22 02:09:09 AM,8.182,0.0
34,06.15.22 02:39:09 AM,7.682,0.0
35,06.15.22 03:09:09 AM,7.582,0.0
36,06.15.22 03:39:09 AM,7.179,0.0
37,06.15.22 04:09:09 AM,6.978,0.0
38,06.15.22 04:39:09 AM,6.674,75.3
39,06.15.22 05:09:09 AM,6.775,344.4
40,06.15.22 05:39:09 AM,7.079,871.9
41,06.15.22 06:09:09 AM,8.282,2325.0
42,06.15.22 06:39:09 AM,10.161,2411.1
43,06.15.22 07:09:09 AM,13.558,19977.9
44,06.15.22 07:39:09 AM,19.567,7233.4
45,06.15.22 08:09:09 AM,24.062,26178.0
46,06.15.22 08:39:09 AM,25.805,31689.1
47,06.15.22 09:09:09 AM,21.855,24800.2
48,06.15.22 09:39:09 AM,23.004,18600.1
49,06.15.22 10:09:09 AM,28.853,34444.7
50,06.15.22 10:39:09 AM,28.655,34444.7
51,06.15.22 11:09:09 AM,18.616,30311.3
52,06.15.22 11:39:09 AM,19.282,34444.7
53,06.15.22 12:09:09 PM,22.046,34444.7
54,06.15.22 12:39:09 PM,25.319,30311.3
55,06.15.22 01:09:09 PM,26.683,33066.9
56,06.15.22 01:39:09 PM,30.154,33066.9
57,06.15.22 02:09:09 PM,29.652,33066.9
58,06.15.22 02:39:09 PM,31.983,33066.9
59,06.15.22 03:09:09 PM,31.472,28933.5
60,06.15.22 03:39:09 PM,31.983,28933.5
61,06.15.22 04:09:09 PM,30.659,26178.0
62,06.15.22 04:39:09 PM,28.754,15155.7
63,06.15.22 05:09:09 PM,29.053,16533.4
64,06.15.22 05:39:09 PM,28.754,13089.0
65,06.15.22 06:09:09 PM,29.352,16533.4
66,06.15.22 06:39:09 PM,29.053,16533.4
67,06.15.22 07:09:09 PM,28.159,10677.8
68,06.15.22 07:39:09 PM,27.370,6200.0
69,06.15.22 08:09:09 PM,25.805,3100.0
70,06.15.22 08:39:09 PM,22.525,839.6
71,06.15.22 09:09:09 PM,21.473,570.5
72,06.15.22 09:39:09 PM,20.138,64.6
73,06.15.22 10:09:09 PM,19.948,0.0
74,06.15.22 10:39:09 PM,18.996,0.0
75,06.15.22 11:09:09 PM,17.760,0.0
76,06.15.22 11:39:09 PM,17.760,0.0
77,06.16.22 12:09:09 AM,17.475,0.0
78,06.16.22 12:39:09 AM,16.427,0.0
79,06.16.22 01:09:09 AM,15.664,0.0
80,06.16.22 01:39:09 AM,15.855,0.0
81,06.16.22 02:09:09 AM,15.855,0.0
82,06.16.22 02:39:09 AM,14.996,0.0
83,06.16.22 03:09:09 AM,14.421,0.0
84,06.16.22 03:39:09 AM,13.750,0.0
85,06.16.22 04:09:09 AM,13.846,0.0
86,06.16.22 04:39:09 AM,13.846,96.9
87,06.16.22 05:09:09 AM,13.846,441.3
88,06.16.22 05:39:09 AM,14.134,1334.7
89,06.16.22 06:09:09 AM,14.134,3444.5
90,06.16.22 06:39:09 AM,13.173,4305.6
91,06.16.22 07:09:09 AM,13.750,10677.8
92,06.16.22 07:39:09 AM,17.475,21355.7
93,06.16.22 08:09:09 AM,20.138,30311.3
94,06.16.22 08:39:09 AM,22.812,18600.1
95,06.16.22 09:09:09 AM,24.062,30311.3
96,06.16.22 09:39:09 AM,24.931,15844.5
97,06.16.22 10:09:09 AM,25.028,26178.0
98,06.16.22 10:39:09 AM,29.252,39955.8
99,06.16.22 11:09:09 AM,30.356,30311.3
100,06.16.22 11:39:09 AM,28.853,41333.6
101,06.16.22 12:09:09 PM,31.472,39955.8
102,06.16.22 12:39:09 PM,29.452,31689.1
103,06.16.22 01:09:09 PM,28.357,23422.4
104,06.16.22 01:39:09 PM,31.370,41333.6
105,06.16.22 02:09:09 PM,29.853,33066.9
106,06.16.22 02:39:09 PM,31.268,33066.9
107,06.16.22 03:09:09 PM,28.953,8266.7
108,06.16.22 03:39:09 PM,28.953,22044.6
109,06.16.22 04:09:09 PM,28.953,33066.9
110,06.16.22 04:39:09 PM,26.683,17911.2
111,06.16.22 05:09:09 PM,25.805,9644.5
112,06.16.22 05:39:09 PM,25.416,17222.3
113,06.16.22 06:09:09 PM,25.319,3961.1
114,06.16.22 06:39:09 PM,26.195,15844.5
115,06.16.22 07:09:09 PM,23.966,11022.3
116,06.16.22 07:39:09 PM,23.869,6544.5
117,06.16.22 08:09:09 PM,22.621,3100.0
118,06.16.22 08:39:09 PM,21.282,1636.1
119,06.16.22 09:09:09 PM,19.853,355.2
120,06.16.22 09:39:09 PM,18.901,64.6
121,06.16.22 10:09:09 PM,18.236,0.0
122,06.16.22 10:39:09 PM,17.570,0.0
123,06.16.22 11:09:09 PM,17.379,0.0
124,06.16.22 11:39:09 PM,16.808,0.0
125,06.17.22 12:09:09 AM,16.237,0.0
126,06.17.22 12:39:09 AM,15.760,0.0
127,06.17.22 01:09:09 AM,15.282,0.0
128,06.17.22 01:39:09 AM,14.325,0.0
129,06.17.22 02:09:09 AM,13.365,0.0
130,06.17.22 02:39:09 AM,12.594,0.0
131,06.17.22 03:09:09 AM,12.401,0.0
132,06.17.22 03:39:09 AM,13.269,0.0
133,06.17.22 04:09:09 AM,13.942,0.0
134,06.17.22 04:39:09 AM,11.819,215.3
135,06.17.22 05:09:09 AM,11.916,624.3
136,06.17.22 05:39:09 AM,11.625,1184.0
137,06.17.22 06:09:09 AM,13.173,1636.1
138,06.17.22 06:39:09 AM,15.187,1808.3
139,06.17.22 07:09:09 AM,16.808,18600.1
140,06.17.22 07:39:09 AM,21.951,26178.0
141,06.17.22 08:09:09 AM,24.448,30311.3
142,06.17.22 08:39:09 AM,25.125,33066.9
143,06.17.22 09:09:09 AM,25.902,34444.7
144,06.17.22 09:39:09 AM,26.000,34444.7
145,06.17.22 10:09:09 AM,26.683,34444.7
146,06.17.22 10:39:09 AM,28.159,37200.2
147,06.17.22 11:09:09 AM,28.159,35822.5
148,06.17.22 11:39:09 AM,28.456,35822.5
149,06.17.22 12:09:09 PM,30.054,35822.5
150,06.17.22 12:39:09 PM,29.953,34444.7
151,06.17.22 01:09:09 PM,30.457,35822.5
152,06.17.22 01:39:09 PM,31.676,35822.5
153,06.17.22 02:09:09 PM,30.558,35822.5
154,06.17.22 02:39:09 PM,31.676,34444.7
155,06.17.22 03:09:09 PM,30.457,27555.7
156,06.17.22 03:39:09 PM,29.752,24800.2
157,06.17.22 04:09:09 PM,28.754,18600.1
158,06.17.22 04:39:09 PM,28.456,15844.5
159,06.17.22 05:09:09 PM,27.567,13777.9
160,06.17.22 05:39:09 PM,27.567,8266.7
161,06.17.22 06:09:09 PM,26.585,8611.2
162,06.17.22 06:39:09 PM,26.195,6200.0
163,06.17.22 07:09:09 PM,25.610,3961.1
164,06.17.22 07:39:09 PM,25.028,2669.5
165,06.17.22 08:09:09 PM,24.351,1808.3
166,06.17.22 08:39:09 PM,23.292,742.7
167,06.17.22 09:09:09 PM,22.621,290.6
168,06.17.22 09:39:09 PM,22.333,21.5
169,06.17.22 10:09:09 PM,21.091,0.0
170,06.17.22 10:39:09 PM,20.138,0.0
171,06.17.22 11:09:09 PM,19.472,0.0
172,06.17.22 11:39:09 PM,18.996,0.0
173,06.18.22 12:09:09 AM,18.140,0.0
174,06.18.22 12:39:09 AM,17.950,0.0
175,06.18.22 01:09:09 AM,17.760,0.0
176,06.18.22 01:39:09 AM,17.570,0.0
177,06.18.22 02:09:09 AM,16.808,0.0
178,06.18.22 02:39:09 AM,16.332,0.0
179,06.18.22 03:09:09 AM,15.473,0.0
180,06.18.22 03:39:09 AM,14.421,0.0
181,06.18.22 04:09:09 AM,14.421,0.0
182,06.18.22 04:39:09 AM,14.230,53.8
183,06.18.22 05:09:09 AM,14.613,376.7
184,06.18.22 05:39:09 AM,14.900,1550.0
185,06.18.22 06:09:09 AM,16.523,2066.7
186,06.18.22 06:39:09 AM,18.045,2669.5
187,06.18.22 07:09:09 AM,20.424,16533.4
188,06.18.22 07:39:09 AM,26.585,26178.0
189,06.18.22 08:09:09 AM,28.258,30311.3
190,06.18.22 08:39:09 AM,30.457,31689.1
191,06.18.22 09:09:09 AM,32.188,33066.9
192,06.18.22 09:39:09 AM,33.430,34444.7
193,06.18.22 10:09:09 AM,34.585,34444.7
194,06.18.22 10:39:09 AM,35.864,34444.7
195,06.18.22 11:09:09 AM,36.295,34444.7
196,06.18.22 11:39:09 AM,36.837,34444.7
197,06.18.22 12:09:09 PM,36.946,34444.7
198,06.18.22 12:39:09 PM,36.295,33066.9
199,06.18.22 01:09:09 PM,37.494,33066.9
200,06.18.22 01:39:09 PM,37.165,33066.9
201,06.18.22 02:09:09 PM,37.494,31689.1
202,06.18.22 02:39:09 PM,38.157,31689.1
