"Plot-Titel: KF"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21059597, SEN S/N: 21059597, LBL: Celsius)","Intensität, Lux (LGR S/N: 21059597, SEN S/N: 21059597, LBL: Lux)"
1,12.29.21 12:54:19 PM,16.141,495.1
2,12.29.21 01:54:19 PM,5.552,667.4
3,12.29.21 02:54:19 PM,5.655,333.7
4,12.29.21 03:54:19 PM,5.450,21.5
5,12.29.21 04:54:19 PM,5.141,0.0
6,12.29.21 05:54:19 PM,4.934,0.0
7,12.29.21 06:54:19 PM,4.727,0.0
8,12.29.21 07:54:19 PM,4.623,0.0
9,12.29.21 08:54:19 PM,4.727,0.0
10,12.29.21 09:54:19 PM,4.519,0.0
11,12.29.21 10:54:19 PM,4.415,0.0
12,12.29.21 11:54:19 PM,4.623,0.0
13,12.30.21 12:54:19 AM,4.519,0.0
14,12.30.21 01:54:19 AM,4.727,0.0
15,12.30.21 02:54:19 AM,4.934,0.0
16,12.30.21 03:54:19 AM,5.244,0.0
17,12.30.21 04:54:19 AM,5.860,0.0
18,12.30.21 05:54:19 AM,6.877,0.0
19,12.30.21 06:54:19 AM,7.582,0.0
20,12.30.21 07:54:19 AM,7.481,10.8
21,12.30.21 08:54:19 AM,7.381,592.0
22,12.30.21 09:54:19 AM,7.682,1108.7
23,12.30.21 10:54:19 AM,8.581,1550.0
24,12.30.21 11:54:19 AM,8.680,1722.2
25,12.30.21 12:54:19 PM,8.978,1334.7
26,12.30.21 01:54:19 PM,9.176,785.8
27,12.30.21 02:54:19 PM,9.472,387.5
28,12.30.21 03:54:19 PM,9.866,21.5
29,12.30.21 04:54:19 PM,10.651,0.0
30,12.30.21 05:54:19 PM,12.013,0.0
31,12.30.21 06:54:19 PM,12.207,0.0
32,12.30.21 07:54:19 PM,12.304,0.0
33,12.30.21 08:54:19 PM,12.401,0.0
34,12.30.21 09:54:19 PM,12.401,0.0
35,12.30.21 10:54:19 PM,12.594,0.0
36,12.30.21 11:54:19 PM,12.594,0.0
37,12.31.21 12:54:19 AM,12.594,0.0
38,12.31.21 01:54:19 AM,12.497,0.0
39,12.31.21 02:54:19 AM,13.076,0.0
40,12.31.21 03:54:19 AM,12.980,0.0
41,12.31.21 04:54:19 AM,12.980,0.0
42,12.31.21 05:54:19 AM,12.883,0.0
43,12.31.21 06:54:19 AM,12.980,0.0
44,12.31.21 07:54:19 AM,13.076,0.0
45,12.31.21 08:54:19 AM,13.365,785.8
46,12.31.21 09:54:19 AM,13.846,3100.0
47,12.31.21 10:54:19 AM,14.038,2066.7
48,12.31.21 11:54:19 AM,13.461,1550.0
49,12.31.21 12:54:19 PM,13.654,527.4
50,12.31.21 01:54:19 PM,14.325,1463.9
51,12.31.21 02:54:19 PM,14.134,785.8
52,12.31.21 03:54:19 PM,13.942,96.9
53,12.31.21 04:54:19 PM,13.269,0.0
54,12.31.21 05:54:19 PM,11.819,0.0
55,12.31.21 06:54:19 PM,11.431,0.0
56,12.31.21 07:54:19 PM,11.625,0.0
57,12.31.21 08:54:19 PM,11.625,0.0
58,12.31.21 09:54:19 PM,11.819,0.0
59,12.31.21 10:54:19 PM,11.819,0.0
60,12.31.21 11:54:19 PM,11.916,0.0
61,01.01.22 12:54:19 AM,11.819,0.0
62,01.01.22 01:54:19 AM,11.916,0.0
63,01.01.22 02:54:19 AM,11.819,0.0
64,01.01.22 03:54:19 AM,11.722,0.0
65,01.01.22 04:54:19 AM,11.528,0.0
66,01.01.22 05:54:19 AM,11.722,0.0
67,01.01.22 06:54:19 AM,11.722,0.0
68,01.01.22 07:54:19 AM,11.819,0.0
69,01.01.22 08:54:19 AM,11.916,269.1
70,01.01.22 09:54:19 AM,12.401,1722.2
71,01.01.22 10:54:19 AM,12.594,1722.2
72,01.01.22 11:54:19 AM,12.594,1377.8
73,01.01.22 12:54:19 PM,13.558,4650.0
74,01.01.22 01:54:19 PM,13.076,1808.3
75,01.01.22 02:54:19 PM,12.690,624.3
76,01.01.22 03:54:19 PM,12.304,312.2
77,01.01.22 04:54:19 PM,11.236,0.0
78,01.01.22 05:54:19 PM,11.431,0.0
