"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
1,07.26.22 04:23:41 PM,21.951,28933.5
2,07.26.22 05:23:41 PM,23.004,10677.8
3,07.26.22 06:23:41 PM,22.238,5511.1
4,07.26.22 07:23:41 PM,24.255,22044.6
5,07.26.22 08:23:41 PM,21.282,1550.0
6,07.26.22 09:23:41 PM,19.853,75.3
7,07.26.22 10:23:41 PM,19.092,0.0
8,07.26.22 11:23:41 PM,18.236,0.0
9,07.27.22 12:23:41 AM,17.855,0.0
10,07.27.22 01:23:41 AM,17.189,0.0
11,07.27.22 02:23:41 AM,16.618,0.0
12,07.27.22 03:23:41 AM,15.473,0.0
13,07.27.22 04:23:41 AM,14.325,0.0
14,07.27.22 05:23:41 AM,13.846,516.7
15,07.27.22 06:23:41 AM,14.134,4477.8
16,07.27.22 07:23:41 AM,18.996,14466.8
17,07.27.22 08:23:41 AM,18.711,39955.8
18,07.27.22 09:23:41 AM,19.662,17911.2
19,07.27.22 10:23:41 AM,18.521,7233.4
20,07.27.22 11:23:41 AM,22.621,49600.3
21,07.27.22 12:23:41 PM,21.473,24800.2
22,07.27.22 01:23:41 PM,22.429,18600.1
23,07.27.22 02:23:41 PM,21.855,15844.5
24,07.27.22 03:23:41 PM,22.717,18600.1
25,07.27.22 04:23:41 PM,22.333,10333.4
26,07.27.22 05:23:41 PM,22.717,12400.1
27,07.27.22 06:23:41 PM,22.238,8611.2
28,07.27.22 07:23:41 PM,21.951,4133.4
29,07.27.22 08:23:41 PM,20.615,6544.5
30,07.27.22 09:23:41 PM,18.711,107.6
31,07.27.22 10:23:41 PM,17.950,0.0
32,07.27.22 11:23:41 PM,17.189,0.0
33,07.28.22 12:23:41 AM,16.237,0.0
34,07.28.22 01:23:41 AM,15.473,0.0
35,07.28.22 02:23:41 AM,14.900,0.0
36,07.28.22 03:23:41 AM,14.134,0.0
37,07.28.22 04:23:41 AM,13.269,0.0
38,07.28.22 05:23:41 AM,13.269,581.3
39,07.28.22 06:23:41 AM,18.331,24800.2
40,07.28.22 07:23:41 AM,22.238,34444.7
41,07.28.22 08:23:41 AM,25.319,44089.2
42,07.28.22 09:23:41 AM,24.062,34444.7
43,07.28.22 10:23:41 AM,24.641,33066.9
44,07.28.22 11:23:41 AM,26.977,30311.3
45,07.28.22 12:23:41 PM,25.125,13777.9
46,07.28.22 01:23:41 PM,28.953,34444.7
47,07.28.22 02:23:41 PM,26.488,13089.0
48,07.28.22 03:23:41 PM,24.931,10677.8
49,07.28.22 04:23:41 PM,30.356,28933.5
50,07.28.22 05:23:41 PM,29.652,26178.0
51,07.28.22 06:23:41 PM,28.754,24800.2
52,07.28.22 07:23:41 PM,27.468,16533.4
53,07.28.22 08:23:41 PM,23.100,3100.0
54,07.28.22 09:23:41 PM,21.282,161.5
55,07.28.22 10:23:41 PM,20.138,0.0
56,07.28.22 11:23:41 PM,19.567,0.0
57,07.29.22 12:23:41 AM,18.521,0.0
58,07.29.22 01:23:41 AM,17.379,0.0
59,07.29.22 02:23:41 AM,16.808,0.0
60,07.29.22 03:23:41 AM,16.141,0.0
61,07.29.22 04:23:41 AM,15.855,0.0
62,07.29.22 05:23:41 AM,15.664,592.0
63,07.29.22 06:23:41 AM,16.141,5166.7
64,07.29.22 07:23:41 AM,17.379,8611.2
65,07.29.22 08:23:41 AM,20.710,19977.9
66,07.29.22 09:23:41 AM,23.196,26178.0
67,07.29.22 10:23:41 AM,27.075,49600.3
68,07.29.22 11:23:41 AM,28.159,38578.0
