"Plot-Titel: MG"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047833, SEN S/N: 21047833, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047833, SEN S/N: 21047833, LBL: Lux)"
1,12.17.21 12:17:41 PM,11.431,4477.8
2,12.17.21 01:17:41 PM,6.268,979.5
3,12.17.21 02:17:41 PM,6.573,1044.1
4,12.17.21 03:17:41 PM,6.268,322.9
5,12.17.21 04:17:41 PM,6.064,0.0
6,12.17.21 05:17:41 PM,5.860,0.0
7,12.17.21 06:17:41 PM,5.757,0.0
8,12.17.21 07:17:41 PM,5.757,0.0
9,12.17.21 08:17:41 PM,5.757,0.0
10,12.17.21 09:17:41 PM,5.347,0.0
11,12.17.21 10:17:41 PM,5.244,0.0
12,12.17.21 11:17:41 PM,4.934,0.0
13,12.18.21 12:17:41 AM,4.934,0.0
14,12.18.21 01:17:41 AM,5.037,0.0
15,12.18.21 02:17:41 AM,5.037,0.0
16,12.18.21 03:17:41 AM,5.141,0.0
17,12.18.21 04:17:41 AM,5.141,0.0
18,12.18.21 05:17:41 AM,5.141,0.0
19,12.18.21 06:17:41 AM,5.141,0.0
20,12.18.21 07:17:41 AM,5.244,0.0
21,12.18.21 08:17:41 AM,5.244,43.1
22,12.18.21 09:17:41 AM,5.347,333.7
23,12.18.21 10:17:41 AM,5.450,1377.8
24,12.18.21 11:17:41 AM,5.860,1377.8
25,12.18.21 12:17:41 PM,6.166,1550.0
26,12.18.21 01:17:41 PM,6.471,1550.0
27,12.18.21 02:17:41 PM,6.775,1141.0
28,12.18.21 03:17:41 PM,6.674,226.0
29,12.18.21 04:17:41 PM,6.268,0.0
30,12.18.21 05:17:41 PM,6.674,0.0
31,12.18.21 06:17:41 PM,6.573,0.0
32,12.18.21 07:17:41 PM,6.573,0.0
33,12.18.21 08:17:41 PM,6.978,0.0
34,12.18.21 09:17:41 PM,7.381,0.0
35,12.18.21 10:17:41 PM,7.782,0.0
36,12.18.21 11:17:41 PM,7.782,0.0
37,12.19.21 12:17:41 AM,7.481,0.0
38,12.19.21 01:17:41 AM,7.481,0.0
39,12.19.21 02:17:41 AM,7.381,0.0
40,12.19.21 03:17:41 AM,7.280,0.0
41,12.19.21 04:17:41 AM,7.381,0.0
42,12.19.21 05:17:41 AM,7.381,0.0
43,12.19.21 06:17:41 AM,7.179,0.0
44,12.19.21 07:17:41 AM,6.978,0.0
45,12.19.21 08:17:41 AM,6.877,64.6
46,12.19.21 09:17:41 AM,6.268,818.1
47,12.19.21 10:17:41 AM,6.268,1205.6
48,12.19.21 11:17:41 AM,6.471,1980.6
49,12.19.21 12:17:41 PM,6.674,1722.2
50,12.19.21 01:17:41 PM,6.573,1550.0
51,12.19.21 02:17:41 PM,6.674,839.6
52,12.19.21 03:17:41 PM,6.674,183.0
53,12.19.21 04:17:41 PM,6.674,0.0
54,12.19.21 05:17:41 PM,5.860,0.0
55,12.19.21 06:17:41 PM,5.860,0.0
56,12.19.21 07:17:41 PM,5.757,0.0
57,12.19.21 08:17:41 PM,5.141,0.0
58,12.19.21 09:17:41 PM,3.998,0.0
59,12.19.21 10:17:41 PM,2.837,0.0
60,12.19.21 11:17:41 PM,2.088,0.0
61,12.20.21 12:17:41 AM,1.764,0.0
62,12.20.21 01:17:41 AM,1.548,0.0
63,12.20.21 02:17:41 AM,1.221,0.0
64,12.20.21 03:17:41 AM,1.003,0.0
65,12.20.21 04:17:41 AM,0.563,0.0
66,12.20.21 05:17:41 AM,0.121,0.0
67,12.20.21 06:17:41 AM,0.010,0.0
68,12.20.21 07:17:41 AM,0.121,0.0
69,12.20.21 08:17:41 AM,0.010,419.8
70,12.20.21 09:17:41 AM,1.221,5166.7
71,12.20.21 10:17:41 AM,3.261,14466.8
72,12.20.21 11:17:41 AM,4.415,10333.4
73,12.20.21 12:17:41 PM,5.962,33066.9
74,12.20.21 01:17:41 PM,4.415,3788.9
75,12.20.21 02:17:41 PM,3.578,4477.8
76,12.20.21 03:17:41 PM,3.261,1377.8
77,12.20.21 04:17:41 PM,2.943,10.8
78,12.20.21 05:17:41 PM,2.195,0.0
79,12.20.21 06:17:41 PM,1.221,0.0
80,12.20.21 07:17:41 PM,1.112,0.0
81,12.20.21 08:17:41 PM,0.343,0.0
82,12.20.21 09:17:41 PM,0.674,0.0
83,12.20.21 10:17:41 PM,1.221,0.0
84,12.20.21 11:17:41 PM,1.112,0.0
85,12.21.21 12:17:41 AM,1.003,0.0
86,12.21.21 01:17:41 AM,1.548,0.0
87,12.21.21 02:17:41 AM,1.439,0.0
88,12.21.21 03:17:41 AM,1.330,0.0
89,12.21.21 04:17:41 AM,1.221,0.0
90,12.21.21 05:17:41 AM,0.784,0.0
91,12.21.21 06:17:41 AM,1.003,0.0
92,12.21.21 07:17:41 AM,1.003,0.0
93,12.21.21 08:17:41 AM,1.003,86.1
94,12.21.21 09:17:41 AM,1.439,958.0
95,12.21.21 10:17:41 AM,1.764,3100.0
96,12.21.21 11:17:41 AM,1.764,1808.3
97,12.21.21 12:17:41 PM,1.764,2152.8
98,12.21.21 01:17:41 PM,1.656,1636.1
99,12.21.21 02:17:41 PM,1.221,495.1
100,12.21.21 03:17:41 PM,0.674,215.3
101,12.21.21 04:17:41 PM,0.674,0.0
102,12.21.21 05:17:41 PM,0.453,0.0
103,12.21.21 06:17:41 PM,0.343,0.0
104,12.21.21 07:17:41 PM,0.010,0.0
105,12.21.21 08:17:41 PM,-0.213,0.0
106,12.21.21 09:17:41 PM,0.121,0.0
107,12.21.21 10:17:41 PM,0.232,0.0
108,12.21.21 11:17:41 PM,-0.437,0.0
109,12.22.21 12:17:41 AM,-0.437,0.0
110,12.22.21 01:17:41 AM,-0.437,0.0
111,12.22.21 02:17:41 AM,-0.102,0.0
112,12.22.21 03:17:41 AM,0.010,0.0
113,12.22.21 04:17:41 AM,0.121,0.0
114,12.22.21 05:17:41 AM,0.010,0.0
115,12.22.21 06:17:41 AM,-0.325,0.0
116,12.22.21 07:17:41 AM,-0.774,0.0
117,12.22.21 08:17:41 AM,-1.114,419.8
118,12.22.21 09:17:41 AM,0.563,5511.1
119,12.22.21 10:17:41 AM,1.980,10333.4
120,12.22.21 11:17:41 AM,2.837,12400.1
121,12.22.21 12:17:41 PM,4.207,20666.8
122,12.22.21 01:17:41 PM,4.311,12400.1
123,12.22.21 02:17:41 PM,1.980,4305.6
124,12.22.21 03:17:41 PM,1.221,1722.2
125,12.22.21 04:17:41 PM,0.343,10.8
126,12.22.21 05:17:41 PM,-0.102,0.0
127,12.22.21 06:17:41 PM,-0.549,0.0
128,12.22.21 07:17:41 PM,-0.774,0.0
129,12.22.21 08:17:41 PM,-1.001,0.0
130,12.22.21 09:17:41 PM,-1.228,0.0
131,12.22.21 10:17:41 PM,-1.570,0.0
132,12.22.21 11:17:41 PM,-2.030,0.0
133,12.23.21 12:17:41 AM,-2.145,0.0
134,12.23.21 01:17:41 AM,-2.145,0.0
135,12.23.21 02:17:41 AM,-2.377,0.0
136,12.23.21 03:17:41 AM,-2.844,0.0
137,12.23.21 04:17:41 AM,-2.377,0.0
138,12.23.21 05:17:41 AM,-2.494,0.0
139,12.23.21 06:17:41 AM,-2.261,0.0
140,12.23.21 07:17:41 AM,-2.030,0.0
141,12.23.21 08:17:41 AM,-1.570,21.5
142,12.23.21 09:17:41 AM,-1.114,1054.9
143,12.23.21 10:17:41 AM,-0.774,1636.1
144,12.23.21 11:17:41 AM,-0.102,3961.1
145,12.23.21 12:17:41 PM,0.343,3272.2
146,12.23.21 01:17:41 PM,1.548,3616.7
147,12.23.21 02:17:41 PM,1.003,775.0
148,12.23.21 03:17:41 PM,1.003,193.8
149,12.23.21 04:17:41 PM,1.003,0.0
150,12.23.21 05:17:41 PM,1.221,0.0
151,12.23.21 06:17:41 PM,0.121,0.0
152,12.23.21 07:17:41 PM,0.010,0.0
153,12.23.21 08:17:41 PM,0.232,0.0
154,12.23.21 09:17:41 PM,0.453,0.0
155,12.23.21 10:17:41 PM,0.674,0.0
156,12.23.21 11:17:41 PM,1.112,0.0
157,12.24.21 12:17:41 AM,1.764,0.0
158,12.24.21 01:17:41 AM,1.872,0.0
159,12.24.21 02:17:41 AM,2.195,0.0
160,12.24.21 03:17:41 AM,2.517,0.0
161,12.24.21 04:17:41 AM,2.837,0.0
162,12.24.21 05:17:41 AM,3.367,0.0
163,12.24.21 06:17:41 AM,3.998,0.0
164,12.24.21 07:17:41 AM,4.623,0.0
165,12.24.21 08:17:41 AM,5.037,10.8
166,12.24.21 09:17:41 AM,5.347,398.3
167,12.24.21 10:17:41 AM,5.655,1162.5
168,12.24.21 11:17:41 AM,5.552,1097.9
169,12.24.21 12:17:41 PM,5.037,667.4
170,12.24.21 01:17:41 PM,3.893,1808.3
171,12.24.21 02:17:41 PM,2.303,904.2
172,12.24.21 03:17:41 PM,1.872,731.9
173,12.24.21 04:17:41 PM,1.112,0.0
174,12.24.21 05:17:41 PM,1.221,0.0
175,12.24.21 06:17:41 PM,1.439,0.0
176,12.24.21 07:17:41 PM,0.674,0.0
177,12.24.21 08:17:41 PM,0.010,0.0
178,12.24.21 09:17:41 PM,-1.914,0.0
179,12.24.21 10:17:41 PM,-3.553,0.0
180,12.24.21 11:17:41 PM,-4.636,0.0
181,12.25.21 12:17:41 AM,-5.125,0.0
182,12.25.21 01:17:41 AM,-5.995,0.0
183,12.25.21 02:17:41 AM,-6.373,0.0
184,12.25.21 03:17:41 AM,-6.626,0.0
185,12.25.21 04:17:41 AM,-7.397,0.0
186,12.25.21 05:17:41 AM,-7.918,0.0
187,12.25.21 06:17:41 AM,-7.267,0.0
188,12.25.21 07:17:41 AM,-7.657,0.0
189,12.25.21 08:17:41 AM,-8.314,333.7
190,12.25.21 09:17:41 AM,-5.745,5511.1
191,12.25.21 10:17:41 AM,-2.145,10333.4
192,12.25.21 11:17:41 AM,0.343,24800.2
193,12.25.21 12:17:41 PM,2.943,30311.3
194,12.25.21 01:17:41 PM,3.998,31689.1
195,12.25.21 02:17:41 PM,-1.341,4650.0
196,12.25.21 03:17:41 PM,-3.672,871.9
197,12.25.21 04:17:41 PM,-5.372,10.8
198,12.25.21 05:17:41 PM,-6.373,0.0
199,12.25.21 06:17:41 PM,-6.626,0.0
