"Plot-Titel: VG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Celsius)","Intensität, Lux (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Lux)"
1,04.11.22 12:07:44 PM,17.189,121245.2
2,04.11.22 01:07:44 PM,16.332,34444.7
3,04.11.22 02:07:44 PM,14.134,9300.1
4,04.11.22 03:07:44 PM,16.903,33066.9
5,04.11.22 04:07:44 PM,18.996,28933.5
6,04.11.22 05:07:44 PM,17.570,26178.0
7,04.11.22 06:07:44 PM,12.207,2238.9
8,04.11.22 07:07:44 PM,11.139,958.0
9,04.11.22 08:07:44 PM,9.373,32.3
10,04.11.22 09:07:44 PM,8.082,0.0
11,04.11.22 10:07:44 PM,6.573,0.0
12,04.11.22 11:07:44 PM,6.471,0.0
13,04.12.22 12:07:44 AM,5.552,0.0
14,04.12.22 01:07:44 AM,4.623,0.0
15,04.12.22 02:07:44 AM,4.207,0.0
16,04.12.22 03:07:44 AM,3.472,0.0
17,04.12.22 04:07:44 AM,2.943,0.0
18,04.12.22 05:07:44 AM,2.410,0.0
19,04.12.22 06:07:44 AM,2.088,161.5
20,04.12.22 07:07:44 AM,2.943,4650.0
21,04.12.22 08:07:44 AM,8.879,24800.2
22,04.12.22 09:07:44 AM,11.041,22044.6
23,04.12.22 10:07:44 AM,15.855,33066.9
24,04.12.22 11:07:44 AM,16.237,20666.8
25,04.12.22 12:07:44 PM,17.284,23422.4
26,04.12.22 01:07:44 PM,18.996,23422.4
27,04.12.22 02:07:44 PM,19.567,22044.6
28,04.12.22 03:07:44 PM,21.569,28933.5
29,04.12.22 04:07:44 PM,21.951,26178.0
30,04.12.22 05:07:44 PM,20.138,17222.3
31,04.12.22 06:07:44 PM,16.713,4305.6
32,04.12.22 07:07:44 PM,15.378,1130.2
33,04.12.22 08:07:44 PM,14.038,21.5
34,04.12.22 09:07:44 PM,12.787,0.0
35,04.12.22 10:07:44 PM,12.110,0.0
36,04.12.22 11:07:44 PM,11.236,0.0
37,04.13.22 12:07:44 AM,10.063,0.0
38,04.13.22 01:07:44 AM,9.176,0.0
39,04.13.22 02:07:44 AM,8.581,0.0
40,04.13.22 03:07:44 AM,8.082,0.0
41,04.13.22 04:07:44 AM,7.280,0.0
42,04.13.22 05:07:44 AM,6.573,0.0
43,04.13.22 06:07:44 AM,6.064,139.9
44,04.13.22 07:07:44 AM,7.079,3788.9
45,04.13.22 08:07:44 AM,10.748,15844.5
46,04.13.22 09:07:44 AM,13.558,22044.6
47,04.13.22 10:07:44 AM,16.427,22044.6
48,04.13.22 11:07:44 AM,20.138,30311.3
49,04.13.22 12:07:44 PM,21.855,21355.7
50,04.13.22 01:07:44 PM,24.062,28933.5
51,04.13.22 02:07:44 PM,25.708,28933.5
52,04.13.22 03:07:44 PM,25.902,22044.6
53,04.13.22 04:07:44 PM,25.319,16533.4
54,04.13.22 05:07:44 PM,23.581,7233.4
