"Plot-Titel: WL"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047860, SEN S/N: 21047860, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047860, SEN S/N: 21047860, LBL: Lux)"
1,12.29.21 01:33:34 PM,15.664,1722.2
2,12.29.21 02:33:34 PM,5.962,484.4
3,12.29.21 03:33:34 PM,5.860,107.6
4,12.29.21 04:33:34 PM,5.655,0.0
5,12.29.21 05:33:34 PM,5.552,0.0
6,12.29.21 06:33:34 PM,5.347,0.0
7,12.29.21 07:33:34 PM,5.347,0.0
8,12.29.21 08:33:34 PM,5.347,0.0
9,12.29.21 09:33:34 PM,5.347,0.0
10,12.29.21 10:33:34 PM,5.347,0.0
11,12.29.21 11:33:34 PM,5.347,0.0
12,12.30.21 12:33:34 AM,5.244,0.0
13,12.30.21 01:33:34 AM,5.141,0.0
14,12.30.21 02:33:34 AM,5.552,0.0
15,12.30.21 03:33:34 AM,5.552,0.0
16,12.30.21 04:33:34 AM,6.268,0.0
17,12.30.21 05:33:34 AM,7.381,0.0
18,12.30.21 06:33:34 AM,7.983,0.0
19,12.30.21 07:33:34 AM,8.382,0.0
20,12.30.21 08:33:34 AM,7.983,150.7
21,12.30.21 09:33:34 AM,8.382,656.6
22,12.30.21 10:33:34 AM,9.077,1463.9
23,12.30.21 11:33:34 AM,9.176,1151.7
24,12.30.21 12:33:34 PM,9.472,1237.9
25,12.30.21 01:33:34 PM,9.472,1463.9
26,12.30.21 02:33:34 PM,9.571,678.1
27,12.30.21 03:33:34 PM,9.965,96.9
28,12.30.21 04:33:34 PM,11.431,0.0
29,12.30.21 05:33:34 PM,12.207,0.0
30,12.30.21 06:33:34 PM,12.401,0.0
31,12.30.21 07:33:34 PM,12.497,0.0
32,12.30.21 08:33:34 PM,12.594,0.0
33,12.30.21 09:33:34 PM,12.594,0.0
34,12.30.21 10:33:34 PM,12.883,0.0
35,12.30.21 11:33:34 PM,12.980,0.0
36,12.31.21 12:33:34 AM,12.980,0.0
37,12.31.21 01:33:34 AM,12.690,0.0
38,12.31.21 02:33:34 AM,13.076,0.0
39,12.31.21 03:33:34 AM,13.076,0.0
40,12.31.21 04:33:34 AM,13.269,0.0
41,12.31.21 05:33:34 AM,13.173,0.0
42,12.31.21 06:33:34 AM,13.269,0.0
43,12.31.21 07:33:34 AM,13.365,0.0
44,12.31.21 08:33:34 AM,13.269,312.2
45,12.31.21 09:33:34 AM,13.654,1205.6
46,12.31.21 10:33:34 AM,13.846,807.3
47,12.31.21 11:33:34 AM,13.942,1011.8
48,12.31.21 12:33:34 PM,14.038,1345.5
49,12.31.21 01:33:34 PM,14.134,1302.4
50,12.31.21 02:33:34 PM,14.421,678.1
51,12.31.21 03:33:34 PM,14.325,441.3
52,12.31.21 04:33:34 PM,14.325,0.0
53,12.31.21 05:33:34 PM,12.980,0.0
54,12.31.21 06:33:34 PM,11.722,0.0
55,12.31.21 07:33:34 PM,11.819,0.0
56,12.31.21 08:33:34 PM,11.819,0.0
57,12.31.21 09:33:34 PM,12.013,0.0
58,12.31.21 10:33:34 PM,11.916,0.0
59,12.31.21 11:33:34 PM,12.110,0.0
60,01.01.22 12:33:34 AM,11.916,0.0
61,01.01.22 01:33:34 AM,12.110,0.0
62,01.01.22 02:33:34 AM,12.110,0.0
63,01.01.22 03:33:34 AM,11.819,0.0
64,01.01.22 04:33:34 AM,11.819,0.0
65,01.01.22 05:33:34 AM,11.819,0.0
66,01.01.22 06:33:34 AM,11.819,0.0
67,01.01.22 07:33:34 AM,11.916,0.0
68,01.01.22 08:33:34 AM,12.110,107.6
69,01.01.22 09:33:34 AM,12.110,1001.0
70,01.01.22 10:33:34 AM,12.497,1011.8
71,01.01.22 11:33:34 AM,12.594,1194.8
72,01.01.22 12:33:34 PM,12.980,1550.0
73,01.01.22 01:33:34 PM,13.173,1130.2
74,01.01.22 02:33:34 PM,12.980,828.8
75,01.01.22 03:33:34 PM,12.883,452.1
76,01.01.22 04:33:34 PM,12.497,0.0
77,01.01.22 05:33:34 PM,12.497,0.0
78,01.01.22 06:33:34 PM,12.304,0.0
79,01.01.22 07:33:34 PM,12.207,0.0
80,01.01.22 08:33:34 PM,12.207,0.0
81,01.01.22 09:33:34 PM,11.528,0.0
82,01.01.22 10:33:34 PM,11.528,0.0
83,01.01.22 11:33:34 PM,11.334,0.0
84,01.02.22 12:33:34 AM,10.651,0.0
85,01.02.22 01:33:34 AM,9.571,0.0
86,01.02.22 02:33:34 AM,8.978,0.0
87,01.02.22 03:33:34 AM,8.680,0.0
88,01.02.22 04:33:34 AM,8.581,0.0
89,01.02.22 05:33:34 AM,8.779,0.0
90,01.02.22 06:33:34 AM,8.182,0.0
91,01.02.22 07:33:34 AM,8.182,0.0
92,01.02.22 08:33:34 AM,8.978,139.9
93,01.02.22 09:33:34 AM,9.965,1463.9
94,01.02.22 10:33:34 AM,10.455,1194.8
95,01.02.22 11:33:34 AM,10.846,1894.5
96,01.02.22 12:33:34 PM,10.553,699.7
97,01.02.22 01:33:34 PM,10.553,516.7
98,01.02.22 02:33:34 PM,10.357,322.9
99,01.02.22 03:33:34 PM,10.161,43.1
100,01.02.22 04:33:34 PM,10.063,0.0
101,01.02.22 05:33:34 PM,10.846,0.0
102,01.02.22 06:33:34 PM,11.236,0.0
103,01.02.22 07:33:34 PM,11.528,0.0
104,01.02.22 08:33:34 PM,11.819,0.0
105,01.02.22 09:33:34 PM,11.625,0.0
106,01.02.22 10:33:34 PM,11.139,0.0
107,01.02.22 11:33:34 PM,11.431,0.0
108,01.03.22 12:33:34 AM,9.965,0.0
109,01.03.22 01:33:34 AM,10.259,0.0
110,01.03.22 02:33:34 AM,9.373,0.0
111,01.03.22 03:33:34 AM,9.176,0.0
112,01.03.22 04:33:34 AM,9.275,0.0
113,01.03.22 05:33:34 AM,8.978,0.0
114,01.03.22 06:33:34 AM,8.680,0.0
115,01.03.22 07:33:34 AM,8.282,0.0
116,01.03.22 08:33:34 AM,8.680,301.4
117,01.03.22 09:33:34 AM,8.879,1216.3
118,01.03.22 10:33:34 AM,9.669,3616.7
119,01.03.22 11:33:34 AM,10.259,3788.9
120,01.03.22 12:33:34 PM,10.651,2152.8
121,01.03.22 01:33:34 PM,11.334,3100.0
122,01.03.22 02:33:34 PM,11.236,3444.5
123,01.03.22 03:33:34 PM,11.041,430.6
124,01.03.22 04:33:34 PM,10.455,0.0
125,01.03.22 05:33:34 PM,9.275,0.0
126,01.03.22 06:33:34 PM,8.978,0.0
127,01.03.22 07:33:34 PM,7.682,0.0
128,01.03.22 08:33:34 PM,7.481,0.0
129,01.03.22 09:33:34 PM,7.582,0.0
130,01.03.22 10:33:34 PM,6.877,0.0
131,01.03.22 11:33:34 PM,6.877,0.0
132,01.04.22 12:33:34 AM,6.268,0.0
133,01.04.22 01:33:34 AM,6.370,0.0
134,01.04.22 02:33:34 AM,6.370,0.0
135,01.04.22 03:33:34 AM,6.268,0.0
136,01.04.22 04:33:34 AM,6.268,0.0
137,01.04.22 05:33:34 AM,6.064,0.0
138,01.04.22 06:33:34 AM,5.552,0.0
139,01.04.22 07:33:34 AM,5.757,0.0
140,01.04.22 08:33:34 AM,6.674,86.1
141,01.04.22 09:33:34 AM,7.381,731.9
142,01.04.22 10:33:34 AM,7.582,645.8
143,01.04.22 11:33:34 AM,7.280,958.0
144,01.04.22 12:33:34 PM,6.978,1087.2
145,01.04.22 01:33:34 PM,7.280,1054.9
146,01.04.22 02:33:34 PM,7.381,882.6
147,01.04.22 03:33:34 PM,7.280,376.7
148,01.04.22 04:33:34 PM,7.179,0.0
149,01.04.22 05:33:34 PM,7.079,0.0
150,01.04.22 06:33:34 PM,6.775,0.0
151,01.04.22 07:33:34 PM,6.775,0.0
152,01.04.22 08:33:34 PM,6.370,0.0
153,01.04.22 09:33:34 PM,6.166,0.0
154,01.04.22 10:33:34 PM,5.962,0.0
155,01.04.22 11:33:34 PM,5.037,0.0
156,01.05.22 12:33:34 AM,4.311,0.0
157,01.05.22 01:33:34 AM,4.102,0.0
158,01.05.22 02:33:34 AM,4.207,0.0
159,01.05.22 03:33:34 AM,4.311,0.0
160,01.05.22 04:33:34 AM,4.311,0.0
161,01.05.22 05:33:34 AM,4.311,0.0
162,01.05.22 06:33:34 AM,3.261,0.0
163,01.05.22 07:33:34 AM,3.472,0.0
164,01.05.22 08:33:34 AM,3.683,183.0
165,01.05.22 09:33:34 AM,3.683,882.6
166,01.05.22 10:33:34 AM,4.311,2411.1
167,01.05.22 11:33:34 AM,5.244,3961.1
168,01.05.22 12:33:34 PM,5.347,3788.9
169,01.05.22 01:33:34 PM,5.141,731.9
170,01.05.22 02:33:34 PM,4.934,333.7
171,01.05.22 03:33:34 PM,3.683,75.3
172,01.05.22 04:33:34 PM,3.578,0.0
173,01.05.22 05:33:34 PM,3.261,0.0
174,01.05.22 06:33:34 PM,4.102,0.0
175,01.05.22 07:33:34 PM,4.727,0.0
176,01.05.22 08:33:34 PM,4.727,0.0
177,01.05.22 09:33:34 PM,4.831,0.0
178,01.05.22 10:33:34 PM,4.831,0.0
179,01.05.22 11:33:34 PM,4.311,0.0
180,01.06.22 12:33:34 AM,3.998,0.0
181,01.06.22 01:33:34 AM,4.102,0.0
182,01.06.22 02:33:34 AM,1.980,0.0
183,01.06.22 03:33:34 AM,1.980,0.0
184,01.06.22 04:33:34 AM,1.656,0.0
185,01.06.22 05:33:34 AM,0.121,0.0
186,01.06.22 06:33:34 AM,-0.549,0.0
187,01.06.22 07:33:34 AM,-0.325,0.0
188,01.06.22 08:33:34 AM,-0.102,441.3
189,01.06.22 09:33:34 AM,0.563,1722.2
190,01.06.22 10:33:34 AM,1.548,2066.7
191,01.06.22 11:33:34 AM,2.303,1894.5
192,01.06.22 12:33:34 PM,2.837,1722.2
193,01.06.22 01:33:34 PM,3.049,1550.0
194,01.06.22 02:33:34 PM,6.268,1550.0
195,01.06.22 03:33:34 PM,1.872,538.2
196,01.06.22 04:33:34 PM,0.893,21.5
197,01.06.22 05:33:34 PM,0.343,0.0
198,01.06.22 06:33:34 PM,0.343,0.0
199,01.06.22 07:33:34 PM,1.221,0.0
200,01.06.22 08:33:34 PM,0.674,0.0
201,01.06.22 09:33:34 PM,-0.437,0.0
202,01.06.22 10:33:34 PM,-0.325,0.0
203,01.06.22 11:33:34 PM,-0.549,0.0
204,01.07.22 12:33:34 AM,-0.437,0.0
205,01.07.22 01:33:34 AM,-0.662,0.0
206,01.07.22 02:33:34 AM,-0.774,0.0
207,01.07.22 03:33:34 AM,-1.456,0.0
208,01.07.22 04:33:34 AM,-1.570,0.0
209,01.07.22 05:33:34 AM,-1.228,0.0
210,01.07.22 06:33:34 AM,-0.549,0.0
211,01.07.22 07:33:34 AM,-0.213,0.0
212,01.07.22 08:33:34 AM,0.232,150.7
213,01.07.22 09:33:34 AM,0.784,1377.8
214,01.07.22 10:33:34 AM,2.088,2497.2
215,01.07.22 11:33:34 AM,3.472,3961.1
216,01.07.22 12:33:34 PM,3.367,2411.1
217,01.07.22 01:33:34 PM,2.837,1808.3
218,01.07.22 02:33:34 PM,2.624,1065.6
219,01.07.22 03:33:34 PM,2.088,107.6
220,01.07.22 04:33:34 PM,1.764,0.0
221,01.07.22 05:33:34 PM,1.872,0.0
222,01.07.22 06:33:34 PM,1.872,0.0
223,01.07.22 07:33:34 PM,1.980,0.0
224,01.07.22 08:33:34 PM,1.764,0.0
225,01.07.22 09:33:34 PM,1.872,0.0
226,01.07.22 10:33:34 PM,1.656,0.0
227,01.07.22 11:33:34 PM,1.330,0.0
228,01.08.22 12:33:34 AM,0.893,0.0
229,01.08.22 01:33:34 AM,0.674,0.0
230,01.08.22 02:33:34 AM,1.112,0.0
231,01.08.22 03:33:34 AM,1.221,0.0
232,01.08.22 04:33:34 AM,1.439,0.0
233,01.08.22 05:33:34 AM,1.439,0.0
234,01.08.22 06:33:34 AM,1.330,0.0
235,01.08.22 07:33:34 AM,1.221,0.0
236,01.08.22 08:33:34 AM,1.548,366.0
237,01.08.22 09:33:34 AM,1.548,1550.0
238,01.08.22 10:33:34 AM,2.088,2927.8
239,01.08.22 11:33:34 AM,1.656,1377.8
240,01.08.22 12:33:34 PM,3.155,2152.8
