"Plot-Titel: ZKU"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21059592, SEN S/N: 21059592, LBL: Celsius)","Intensität, Lux (LGR S/N: 21059592, SEN S/N: 21059592, LBL: Lux)"
1,07.26.22 12:08:37 PM,27.764,28933.5
2,07.26.22 01:08:37 PM,30.659,17222.3
3,07.26.22 02:08:37 PM,24.448,1636.1
4,07.26.22 03:08:37 PM,18.426,3100.0
5,07.26.22 04:08:37 PM,20.996,7233.4
6,07.26.22 05:08:37 PM,23.869,7577.8
7,07.26.22 06:08:37 PM,23.196,18600.1
8,07.26.22 07:08:37 PM,26.097,11022.3
9,07.26.22 08:08:37 PM,23.196,9300.1
10,07.26.22 09:08:37 PM,19.853,129.2
11,07.26.22 10:08:37 PM,18.331,0.0
12,07.26.22 11:08:37 PM,17.475,0.0
13,07.27.22 12:08:37 AM,17.570,0.0
14,07.27.22 01:08:37 AM,16.903,0.0
15,07.27.22 02:08:37 AM,16.332,0.0
16,07.27.22 03:08:37 AM,14.613,0.0
17,07.27.22 04:08:37 AM,13.461,0.0
18,07.27.22 05:08:37 AM,12.594,64.6
19,07.27.22 06:08:37 AM,12.980,818.1
20,07.27.22 07:08:37 AM,14.613,3444.5
21,07.27.22 08:08:37 AM,19.187,10333.4
22,07.27.22 09:08:37 AM,19.377,6200.0
23,07.27.22 10:08:37 AM,18.711,4650.0
24,07.27.22 11:08:37 AM,23.100,6200.0
25,07.27.22 12:08:37 PM,22.046,7577.8
26,07.27.22 01:08:37 PM,21.378,7577.8
27,07.27.22 02:08:37 PM,22.908,10333.4
28,07.27.22 03:08:37 PM,22.142,5511.1
29,07.27.22 04:08:37 PM,22.429,6200.0
30,07.27.22 05:08:37 PM,21.760,4650.0
31,07.27.22 06:08:37 PM,22.142,5166.7
32,07.27.22 07:08:37 PM,21.664,6200.0
33,07.27.22 08:08:37 PM,23.100,7577.8
34,07.27.22 09:08:37 PM,18.140,129.2
35,07.27.22 10:08:37 PM,16.903,0.0
36,07.27.22 11:08:37 PM,16.046,0.0
37,07.28.22 12:08:37 AM,13.558,0.0
38,07.28.22 01:08:37 AM,12.883,0.0
39,07.28.22 02:08:37 AM,12.110,0.0
40,07.28.22 03:08:37 AM,11.625,0.0
41,07.28.22 04:08:37 AM,10.455,0.0
42,07.28.22 05:08:37 AM,10.161,43.1
43,07.28.22 06:08:37 AM,10.651,710.4
44,07.28.22 07:08:37 AM,13.173,1722.2
45,07.28.22 08:08:37 AM,20.043,9644.5
46,07.28.22 09:08:37 AM,21.569,9644.5
47,07.28.22 10:08:37 AM,23.292,12400.1
48,07.28.22 11:08:37 AM,24.931,16533.4
49,07.28.22 12:08:37 PM,25.222,11711.2
50,07.28.22 01:08:37 PM,26.977,16533.4
51,07.28.22 02:08:37 PM,27.862,16533.4
52,07.28.22 03:08:37 PM,26.977,4822.3
53,07.28.22 04:08:37 PM,28.853,24800.2
54,07.28.22 05:08:37 PM,30.255,39955.8
55,07.28.22 06:08:37 PM,30.659,37200.2
56,07.28.22 07:08:37 PM,28.655,27555.7
57,07.28.22 08:08:37 PM,25.805,19977.9
58,07.28.22 09:08:37 PM,20.710,172.2
59,07.28.22 10:08:37 PM,19.092,0.0
60,07.28.22 11:08:37 PM,18.331,0.0
61,07.29.22 12:08:37 AM,17.475,0.0
62,07.29.22 01:08:37 AM,16.713,0.0
63,07.29.22 02:08:37 AM,15.664,0.0
64,07.29.22 03:08:37 AM,14.996,0.0
65,07.29.22 04:08:37 AM,14.517,0.0
66,07.29.22 05:08:37 AM,14.613,376.7
67,07.29.22 06:08:37 AM,14.709,2066.7
