"Plot-Titel: AKT"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21055005, SEN S/N: 21055005, LBL: Celsius)","Intensität, Lux (LGR S/N: 21055005, SEN S/N: 21055005, LBL: Lux)"
1,12.17.21 03:30:46 PM,19.567,344.4
2,12.17.21 04:30:46 PM,5.860,0.0
3,12.17.21 05:30:46 PM,5.757,0.0
4,12.17.21 06:30:46 PM,5.757,0.0
5,12.17.21 07:30:46 PM,5.655,0.0
6,12.17.21 08:30:46 PM,5.552,0.0
7,12.17.21 09:30:46 PM,5.244,0.0
8,12.17.21 10:30:46 PM,5.037,0.0
9,12.17.21 11:30:46 PM,4.934,0.0
10,12.18.21 12:30:46 AM,4.831,0.0
11,12.18.21 01:30:46 AM,4.934,0.0
12,12.18.21 02:30:46 AM,4.934,0.0
13,12.18.21 03:30:46 AM,5.141,0.0
14,12.18.21 04:30:46 AM,5.141,0.0
15,12.18.21 05:30:46 AM,5.141,0.0
16,12.18.21 06:30:46 AM,5.244,0.0
17,12.18.21 07:30:46 AM,5.244,0.0
18,12.18.21 08:30:46 AM,5.244,96.9
19,12.18.21 09:30:46 AM,5.244,635.1
20,12.18.21 10:30:46 AM,5.552,1377.8
21,12.18.21 11:30:46 AM,5.962,1463.9
22,12.18.21 12:30:46 PM,6.268,1377.8
23,12.18.21 01:30:46 PM,6.471,1894.5
24,12.18.21 02:30:46 PM,6.674,850.4
25,12.18.21 03:30:46 PM,6.674,193.8
26,12.18.21 04:30:46 PM,6.268,0.0
27,12.18.21 05:30:46 PM,6.573,0.0
28,12.18.21 06:30:46 PM,6.573,0.0
29,12.18.21 07:30:46 PM,6.573,0.0
30,12.18.21 08:30:46 PM,6.877,0.0
31,12.18.21 09:30:46 PM,7.280,0.0
32,12.18.21 10:30:46 PM,7.782,0.0
33,12.18.21 11:30:46 PM,7.481,0.0
34,12.19.21 12:30:46 AM,7.280,0.0
35,12.19.21 01:30:46 AM,7.280,0.0
36,12.19.21 02:30:46 AM,7.179,0.0
37,12.19.21 03:30:46 AM,7.079,0.0
38,12.19.21 04:30:46 AM,7.179,0.0
39,12.19.21 05:30:46 AM,7.280,0.0
40,12.19.21 06:30:46 AM,6.978,0.0
41,12.19.21 07:30:46 AM,6.775,0.0
42,12.19.21 08:30:46 AM,6.775,96.9
43,12.19.21 09:30:46 AM,6.471,1302.4
44,12.19.21 10:30:46 AM,6.471,1636.1
45,12.19.21 11:30:46 AM,6.674,1550.0
46,12.19.21 12:30:46 PM,6.775,2755.6
47,12.19.21 01:30:46 PM,6.775,1894.5
48,12.19.21 02:30:46 PM,6.877,990.3
49,12.19.21 03:30:46 PM,6.775,215.3
50,12.19.21 04:30:46 PM,6.573,0.0
51,12.19.21 05:30:46 PM,5.347,0.0
52,12.19.21 06:30:46 PM,5.552,0.0
53,12.19.21 07:30:46 PM,5.655,0.0
54,12.19.21 08:30:46 PM,5.141,0.0
