"Date","Time","Temp_Celsius","Intensity_Lux"
"2022-07-26","16:23:41",21.951,28933.5
"2022-07-26","17:23:41",23.004,10677.8
"2022-07-26","18:23:41",22.238,5511.1
"2022-07-26","19:23:41",24.255,22044.6
"2022-07-26","20:23:41",21.282,1550
"2022-07-26","21:23:41",19.853,75.3
"2022-07-26","22:23:41",19.092,0
"2022-07-26","23:23:41",18.236,0
"2022-07-27","00:23:41",17.855,0
"2022-07-27","01:23:41",17.189,0
"2022-07-27","02:23:41",16.618,0
"2022-07-27","03:23:41",15.473,0
"2022-07-27","04:23:41",14.325,0
"2022-07-27","05:23:41",13.846,516.7
"2022-07-27","06:23:41",14.134,4477.8
"2022-07-27","07:23:41",18.996,14466.8
"2022-07-27","08:23:41",18.711,39955.8
"2022-07-27","09:23:41",19.662,17911.2
"2022-07-27","10:23:41",18.521,7233.4
"2022-07-27","11:23:41",22.621,49600.3
"2022-07-27","12:23:41",21.473,24800.2
"2022-07-27","13:23:41",22.429,18600.1
"2022-07-27","14:23:41",21.855,15844.5
"2022-07-27","15:23:41",22.717,18600.1
"2022-07-27","16:23:41",22.333,10333.4
"2022-07-27","17:23:41",22.717,12400.1
"2022-07-27","18:23:41",22.238,8611.2
"2022-07-27","19:23:41",21.951,4133.4
"2022-07-27","20:23:41",20.615,6544.5
"2022-07-27","21:23:41",18.711,107.6
"2022-07-27","22:23:41",17.95,0
"2022-07-27","23:23:41",17.189,0
"2022-07-28","00:23:41",16.237,0
"2022-07-28","01:23:41",15.473,0
"2022-07-28","02:23:41",14.9,0
"2022-07-28","03:23:41",14.134,0
"2022-07-28","04:23:41",13.269,0
"2022-07-28","05:23:41",13.269,581.3
"2022-07-28","06:23:41",18.331,24800.2
"2022-07-28","07:23:41",22.238,34444.7
"2022-07-28","08:23:41",25.319,44089.2
"2022-07-28","09:23:41",24.062,34444.7
"2022-07-28","10:23:41",24.641,33066.9
"2022-07-28","11:23:41",26.977,30311.3
"2022-07-28","12:23:41",25.125,13777.9
"2022-07-28","13:23:41",28.953,34444.7
"2022-07-28","14:23:41",26.488,13089
"2022-07-28","15:23:41",24.931,10677.8
"2022-07-28","16:23:41",30.356,28933.5
"2022-07-28","17:23:41",29.652,26178
"2022-07-28","18:23:41",28.754,24800.2
"2022-07-28","19:23:41",27.468,16533.4
"2022-07-28","20:23:41",23.1,3100
"2022-07-28","21:23:41",21.282,161.5
"2022-07-28","22:23:41",20.138,0
"2022-07-28","23:23:41",19.567,0
"2022-07-29","00:23:41",18.521,0
"2022-07-29","01:23:41",17.379,0
"2022-07-29","02:23:41",16.808,0
"2022-07-29","03:23:41",16.141,0
"2022-07-29","04:23:41",15.855,0
"2022-07-29","05:23:41",15.664,592
"2022-07-29","06:23:41",16.141,5166.7
"2022-07-29","07:23:41",17.379,8611.2
"2022-07-29","08:23:41",20.71,19977.9
"2022-07-29","09:23:41",23.196,26178
"2022-07-29","10:23:41",27.075,49600.3
"2022-07-29","11:23:41",28.159,38578
"2022-07-29","12:23:41",28.953,33066.9
"2022-07-29","13:23:41",27.567,21355.7
"2022-07-29","14:23:41",31.37,28933.5
"2022-07-29","15:23:41",29.252,14466.8
"2022-07-29","16:23:41",31.166,24800.2
"2022-07-29","17:23:41",32.086,27555.7
"2022-07-29","18:23:41",30.659,22044.6
"2022-07-29","19:23:41",29.352,15155.7
"2022-07-29","20:23:41",26.195,1894.5
"2022-07-29","21:23:41",24.448,43.1
"2022-07-29","22:23:41",23.196,0
"2022-07-29","23:23:41",22.333,0
"2022-07-30","00:23:41",21.569,0
"2022-07-30","01:23:41",20.71,0
"2022-07-30","02:23:41",20.043,0
