"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-17","12:17:41",11.431,4477.8
"2021-12-17","13:17:41",6.268,979.5
"2021-12-17","14:17:41",6.573,1044.1
"2021-12-17","15:17:41",6.268,322.9
"2021-12-17","16:17:41",6.064,0
"2021-12-17","17:17:41",5.86,0
"2021-12-17","18:17:41",5.757,0
"2021-12-17","19:17:41",5.757,0
"2021-12-17","20:17:41",5.757,0
"2021-12-17","21:17:41",5.347,0
"2021-12-17","22:17:41",5.244,0
"2021-12-17","23:17:41",4.934,0
"2021-12-18","00:17:41",4.934,0
"2021-12-18","01:17:41",5.037,0
"2021-12-18","02:17:41",5.037,0
"2021-12-18","03:17:41",5.141,0
"2021-12-18","04:17:41",5.141,0
"2021-12-18","05:17:41",5.141,0
"2021-12-18","06:17:41",5.141,0
"2021-12-18","07:17:41",5.244,0
"2021-12-18","08:17:41",5.244,43.1
"2021-12-18","09:17:41",5.347,333.7
"2021-12-18","10:17:41",5.45,1377.8
"2021-12-18","11:17:41",5.86,1377.8
"2021-12-18","12:17:41",6.166,1550
"2021-12-18","13:17:41",6.471,1550
"2021-12-18","14:17:41",6.775,1141
"2021-12-18","15:17:41",6.674,226
"2021-12-18","16:17:41",6.268,0
"2021-12-18","17:17:41",6.674,0
"2021-12-18","18:17:41",6.573,0
"2021-12-18","19:17:41",6.573,0
"2021-12-18","20:17:41",6.978,0
"2021-12-18","21:17:41",7.381,0
"2021-12-18","22:17:41",7.782,0
"2021-12-18","23:17:41",7.782,0
"2021-12-19","00:17:41",7.481,0
"2021-12-19","01:17:41",7.481,0
"2021-12-19","02:17:41",7.381,0
"2021-12-19","03:17:41",7.28,0
"2021-12-19","04:17:41",7.381,0
"2021-12-19","05:17:41",7.381,0
"2021-12-19","06:17:41",7.179,0
"2021-12-19","07:17:41",6.978,0
"2021-12-19","08:17:41",6.877,64.6
"2021-12-19","09:17:41",6.268,818.1
"2021-12-19","10:17:41",6.268,1205.6
"2021-12-19","11:17:41",6.471,1980.6
"2021-12-19","12:17:41",6.674,1722.2
"2021-12-19","13:17:41",6.573,1550
"2021-12-19","14:17:41",6.674,839.6
"2021-12-19","15:17:41",6.674,183
"2021-12-19","16:17:41",6.674,0
"2021-12-19","17:17:41",5.86,0
"2021-12-19","18:17:41",5.86,0
"2021-12-19","19:17:41",5.757,0
"2021-12-19","20:17:41",5.141,0
"2021-12-19","21:17:41",3.998,0
"2021-12-19","22:17:41",2.837,0
"2021-12-19","23:17:41",2.088,0
"2021-12-20","00:17:41",1.764,0
"2021-12-20","01:17:41",1.548,0
"2021-12-20","02:17:41",1.221,0
"2021-12-20","03:17:41",1.003,0
"2021-12-20","04:17:41",0.563,0
"2021-12-20","05:17:41",0.121,0
"2021-12-20","06:17:41",0.01,0
"2021-12-20","07:17:41",0.121,0
"2021-12-20","08:17:41",0.01,419.8
"2021-12-20","09:17:41",1.221,5166.7
"2021-12-20","10:17:41",3.261,14466.8
"2021-12-20","11:17:41",4.415,10333.4
"2021-12-20","12:17:41",5.962,33066.9
"2021-12-20","13:17:41",4.415,3788.9
"2021-12-20","14:17:41",3.578,4477.8
"2021-12-20","15:17:41",3.261,1377.8
"2021-12-20","16:17:41",2.943,10.8
"2021-12-20","17:17:41",2.195,0
"2021-12-20","18:17:41",1.221,0
"2021-12-20","19:17:41",1.112,0
"2021-12-20","20:17:41",0.343,0
"2021-12-20","21:17:41",0.674,0
"2021-12-20","22:17:41",1.221,0
"2021-12-20","23:17:41",1.112,0
"2021-12-21","00:17:41",1.003,0
"2021-12-21","01:17:41",1.548,0
"2021-12-21","02:17:41",1.439,0
"2021-12-21","03:17:41",1.33,0
"2021-12-21","04:17:41",1.221,0
"2021-12-21","05:17:41",0.784,0
"2021-12-21","06:17:41",1.003,0
"2021-12-21","07:17:41",1.003,0
"2021-12-21","08:17:41",1.003,86.1
"2021-12-21","09:17:41",1.439,958
