"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-17","13:44:58",15.187,1894.5
"2021-12-17","14:44:58",6.674,613.5
"2021-12-17","15:44:58",6.268,64.6
"2021-12-17","16:44:58",5.962,0
"2021-12-17","17:44:58",5.962,0
"2021-12-17","18:44:58",5.86,0
"2021-12-17","19:44:58",5.86,0
"2021-12-17","20:44:58",5.552,0
"2021-12-17","21:44:58",5.45,0
"2021-12-17","22:44:58",5.141,0
"2021-12-17","23:44:58",5.037,0
"2021-12-18","00:44:58",5.037,0
"2021-12-18","01:44:58",5.037,0
"2021-12-18","02:44:58",5.141,0
"2021-12-18","03:44:58",5.141,0
"2021-12-18","04:44:58",5.244,0
"2021-12-18","05:44:58",5.244,0
"2021-12-18","06:44:58",5.244,0
"2021-12-18","07:44:58",5.244,0
"2021-12-18","08:44:58",5.347,129.2
"2021-12-18","09:44:58",5.244,850.4
"2021-12-18","10:44:58",5.655,925.7
"2021-12-18","11:44:58",6.064,871.9
"2021-12-18","12:44:58",6.268,1054.9
"2021-12-18","13:44:58",6.471,796.5
"2021-12-18","14:44:58",6.674,452.1
"2021-12-18","15:44:58",6.471,43.1
"2021-12-18","16:44:58",6.471,0
"2021-12-18","17:44:58",6.674,0
"2021-12-18","18:44:58",6.573,0
"2021-12-18","19:44:58",6.775,0
"2021-12-18","20:44:58",7.28,0
"2021-12-18","21:44:58",7.682,0
"2021-12-18","22:44:58",7.882,0
"2021-12-18","23:44:58",7.582,0
"2021-12-19","00:44:58",7.481,0
"2021-12-19","01:44:58",7.481,0
"2021-12-19","02:44:58",7.381,0
"2021-12-19","03:44:58",7.381,0
"2021-12-19","04:44:58",7.381,0
"2021-12-19","05:44:58",7.28,0
"2021-12-19","06:44:58",6.978,0
"2021-12-19","07:44:58",6.978,0
"2021-12-19","08:44:58",6.573,376.7
"2021-12-19","09:44:58",6.37,1377.8
"2021-12-19","10:44:58",6.37,1087.2
"2021-12-19","11:44:58",6.37,1087.2
"2021-12-19","12:44:58",6.573,1550
"2021-12-19","13:44:58",6.573,699.7
"2021-12-19","14:44:58",6.674,376.7
"2021-12-19","15:44:58",6.573,53.8
"2021-12-19","16:44:58",6.674,0
"2021-12-19","17:44:58",6.166,0
"2021-12-19","18:44:58",5.552,0
"2021-12-19","19:44:58",5.655,0
"2021-12-19","20:44:58",4.934,0
"2021-12-19","21:44:58",3.155,0
"2021-12-19","22:44:58",1.872,0
"2021-12-19","23:44:58",1.439,0
"2021-12-20","00:44:58",1.221,0
"2021-12-20","01:44:58",0.784,0
"2021-12-20","02:44:58",0.563,0
"2021-12-20","03:44:58",0.453,0
"2021-12-20","04:44:58",0.343,0
"2021-12-20","05:44:58",0.121,0
"2021-12-20","06:44:58",0.343,0
"2021-12-20","07:44:58",0.343,0
"2021-12-20","08:44:58",0.453,656.6
"2021-12-20","09:44:58",2.943,7233.4
"2021-12-20","10:44:58",4.519,11711.2
"2021-12-20","11:44:58",2.73,3616.7
"2021-12-20","12:44:58",4.207,7233.4
"2021-12-20","13:44:58",3.472,3616.7
"2021-12-20","14:44:58",3.578,1033.3
"2021-12-20","15:44:58",3.155,150.7
"2021-12-20","16:44:58",2.73,0
"2021-12-20","17:44:58",2.517,0
"2021-12-20","18:44:58",1.548,0
"2021-12-20","19:44:58",0.674,0
"2021-12-20","20:44:58",0.453,0
"2021-12-20","21:44:58",1.003,0
"2021-12-20","22:44:58",1.221,0
"2021-12-20","23:44:58",1.003,0
"2021-12-21","00:44:58",0.784,0
"2021-12-21","01:44:58",0.674,0
"2021-12-21","02:44:58",0.784,0
"2021-12-21","03:44:58",0.893,0
"2021-12-21","04:44:58",0.893,0
"2021-12-21","05:44:58",0.893,0
"2021-12-21","06:44:58",1.003,0
"2021-12-21","07:44:58",0.893,0
"2021-12-21","08:44:58",0.784,215.3
"2021-12-21","09:44:58",1.112,861.1
"2021-12-21","10:44:58",1.439,1377.8
"2021-12-21","11:44:58",1.003,818.1
"2021-12-21","12:44:58",1.221,1227.1
"2021-12-21","13:44:58",1.003,656.6
"2021-12-21","14:44:58",0.893,161.5
"2021-12-21","15:44:58",0.453,53.8
