"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-29","11:33:50",14.804,1980.6
"2021-12-29","12:33:50",5.757,1162.5
"2021-12-29","13:33:50",5.655,1011.8
"2021-12-29","14:33:50",5.655,570.5
"2021-12-29","15:33:50",5.552,118.4
"2021-12-29","16:33:50",5.244,0
"2021-12-29","17:33:50",5.037,0
"2021-12-29","18:33:50",4.831,0
"2021-12-29","19:33:50",4.727,0
"2021-12-29","20:33:50",4.519,0
"2021-12-29","21:33:50",4.831,0
"2021-12-29","22:33:50",4.727,0
"2021-12-29","23:33:50",4.727,0
"2021-12-30","00:33:50",4.831,0
"2021-12-30","01:33:50",4.727,0
"2021-12-30","02:33:50",4.831,0
"2021-12-30","03:33:50",5.552,0
"2021-12-30","04:33:50",5.86,0
"2021-12-30","05:33:50",6.471,0
"2021-12-30","06:33:50",7.582,0
"2021-12-30","07:33:50",7.983,0
"2021-12-30","08:33:50",7.28,312.2
"2021-12-30","09:33:50",8.382,1033.3
"2021-12-30","10:33:50",9.077,2066.7
"2021-12-30","11:33:50",9.176,1722.2
"2021-12-30","12:33:50",9.373,1550
"2021-12-30","13:33:50",9.275,861.1
"2021-12-30","14:33:50",9.472,516.7
"2021-12-30","15:33:50",10.063,129.2
"2021-12-30","16:33:50",10.651,0
"2021-12-30","17:33:50",11.916,0
"2021-12-30","18:33:50",12.11,0
"2021-12-30","19:33:50",12.401,0
"2021-12-30","20:33:50",12.401,0
"2021-12-30","21:33:50",12.304,0
"2021-12-30","22:33:50",12.401,0
"2021-12-30","23:33:50",12.401,0
"2021-12-31","00:33:50",12.69,0
"2021-12-31","01:33:50",12.69,0
"2021-12-31","02:33:50",12.883,0
"2021-12-31","03:33:50",12.883,0
"2021-12-31","04:33:50",12.594,0
"2021-12-31","05:33:50",12.787,0
"2021-12-31","06:33:50",12.98,0
"2021-12-31","07:33:50",12.98,0
"2021-12-31","08:33:50",12.98,172.2
"2021-12-31","09:33:50",13.461,1001
"2021-12-31","10:33:50",13.942,1291.7
"2021-12-31","11:33:50",14.038,1377.8
"2021-12-31","12:33:50",13.654,1022.6
"2021-12-31","13:33:50",14.325,2238.9
"2021-12-31","14:33:50",14.134,667.4
"2021-12-31","15:33:50",14.038,387.5
"2021-12-31","16:33:50",13.942,0
"2021-12-31","17:33:50",13.076,0
"2021-12-31","18:33:50",11.528,0
"2021-12-31","19:33:50",11.625,0
"2021-12-31","20:33:50",11.625,0
"2021-12-31","21:33:50",11.819,0
"2021-12-31","22:33:50",11.819,0
"2021-12-31","23:33:50",11.916,0
"2022-01-01","00:33:50",11.916,0
"2022-01-01","01:33:50",12.013,0
"2022-01-01","02:33:50",12.11,0
"2022-01-01","03:33:50",11.722,0
"2022-01-01","04:33:50",11.722,0
"2022-01-01","05:33:50",11.625,0
"2022-01-01","06:33:50",11.528,0
"2022-01-01","07:33:50",11.722,0
"2022-01-01","08:33:50",11.916,183
"2022-01-01","09:33:50",11.916,828.8
"2022-01-01","10:33:50",12.497,2066.7
"2022-01-01","11:33:50",12.883,2152.8
"2022-01-01","12:33:50",12.98,2411.1
"2022-01-01","13:33:50",13.076,1808.3
"2022-01-01","14:33:50",12.594,850.4
"2022-01-01","15:33:50",12.401,452.1
"2022-01-01","16:33:50",12.013,0
"2022-01-01","17:33:50",12.304,0
"2022-01-01","18:33:50",12.304,0
"2022-01-01","19:33:50",12.304,0
"2022-01-01","20:33:50",12.013,0
"2022-01-01","21:33:50",11.722,0
"2022-01-01","22:33:50",11.041,0
"2022-01-01","23:33:50",10.944,0
"2022-01-02","00:33:50",10.651,0
"2022-01-02","01:33:50",10.063,0
"2022-01-02","02:33:50",8.978,0
"2022-01-02","03:33:50",8.581,0
"2022-01-02","04:33:50",8.282,0
"2022-01-02","05:33:50",8.581,0
"2022-01-02","06:33:50",8.382,0
"2022-01-02","07:33:50",8.182,0
"2022-01-02","08:33:50",8.68,129.2
"2022-01-02","09:33:50",9.571,1636.1
"2022-01-02","10:33:50",10.455,1636.1
"2022-01-02","11:33:50",10.846,2497.2
"2022-01-02","12:33:50",10.553,1205.6
"2022-01-02","13:33:50",10.553,753.5
"2022-01-02","14:33:50",10.357,516.7
"2022-01-02","15:33:50",10.161,21.5
"2022-01-02","16:33:50",10.161,0
"2022-01-02","17:33:50",10.846,0
"2022-01-02","18:33:50",11.139,0
"2022-01-02","19:33:50",11.139,0
"2022-01-02","20:33:50",11.625,0
"2022-01-02","21:33:50",11.236,0
"2022-01-02","22:33:50",10.651,0
"2022-01-02","23:33:50",10.944,0
"2022-01-03","00:33:50",10.161,0
"2022-01-03","01:33:50",9.866,0
"2022-01-03","02:33:50",9.275,0
"2022-01-03","03:33:50",9.077,0
"2022-01-03","04:33:50",8.978,0
"2022-01-03","05:33:50",8.779,0
"2022-01-03","06:33:50",8.282,0
"2022-01-03","07:33:50",7.582,0
"2022-01-03","08:33:50",8.082,258.3
"2022-01-03","09:33:50",8.68,2411.1
"2022-01-03","10:33:50",9.571,2669.5
"2022-01-03","11:33:50",9.866,3272.2
"2022-01-03","12:33:50",10.357,3616.7
"2022-01-03","13:33:50",10.944,3961.1
"2022-01-03","14:33:50",10.846,1808.3
"2022-01-03","15:33:50",10.748,366
"2022-01-03","16:33:50",10.357,0
"2022-01-03","17:33:50",8.68,0
"2022-01-03","18:33:50",8.581,0
"2022-01-03","19:33:50",7.582,0
"2022-01-03","20:33:50",7.682,0
"2022-01-03","21:33:50",7.782,0
"2022-01-03","22:33:50",7.28,0
"2022-01-03","23:33:50",6.978,0
"2022-01-04","00:33:50",6.573,0
"2022-01-04","01:33:50",6.471,0
"2022-01-04","02:33:50",6.37,0
"2022-01-04","03:33:50",6.064,0
"2022-01-04","04:33:50",5.962,0
"2022-01-04","05:33:50",5.86,0
"2022-01-04","06:33:50",5.757,0
"2022-01-04","07:33:50",5.244,0
"2022-01-04","08:33:50",5.86,172.2
"2022-01-04","09:33:50",6.674,1130.2
"2022-01-04","10:33:50",6.978,1463.9
"2022-01-04","11:33:50",6.877,1463.9
"2022-01-04","12:33:50",6.978,1356.3
"2022-01-04","13:33:50",6.978,1291.7
"2022-01-04","14:33:50",7.179,1216.3
"2022-01-04","15:33:50",6.978,484.4
"2022-01-04","16:33:50",6.877,0
"2022-01-04","17:33:50",6.978,0
"2022-01-04","18:33:50",6.775,0
"2022-01-04","19:33:50",6.674,0
"2022-01-04","20:33:50",6.064,0
"2022-01-04","21:33:50",5.655,0
"2022-01-04","22:33:50",5.655,0
"2022-01-04","23:33:50",4.623,0
"2022-01-05","00:33:50",3.472,0
"2022-01-05","01:33:50",3.261,0
"2022-01-05","02:33:50",3.155,0
"2022-01-05","03:33:50",3.893,0
"2022-01-05","04:33:50",3.893,0
"2022-01-05","05:33:50",3.893,0
"2022-01-05","06:33:50",3.049,0
"2022-01-05","07:33:50",2.943,0
"2022-01-05","08:33:50",2.943,344.4
"2022-01-05","09:33:50",3.578,1463.9
"2022-01-05","10:33:50",5.962,5511.1
"2022-01-05","11:33:50",4.727,3616.7
"2022-01-05","12:33:50",5.45,13777.9
"2022-01-05","13:33:50",4.934,1334.7
"2022-01-05","14:33:50",4.415,549
"2022-01-05","15:33:50",3.893,86.1
"2022-01-05","16:33:50",3.049,0
"2022-01-05","17:33:50",2.943,0
"2022-01-05","18:33:50",3.261,0
"2022-01-05","19:33:50",3.998,0
"2022-01-05","20:33:50",4.519,0
"2022-01-05","21:33:50",4.207,0
"2022-01-05","22:33:50",4.102,0
"2022-01-05","23:33:50",3.893,0
"2022-01-06","00:33:50",3.788,0
"2022-01-06","01:33:50",3.788,0
"2022-01-06","02:33:50",2.195,0
"2022-01-06","03:33:50",1.98,0
"2022-01-06","04:33:50",1.764,0
"2022-01-06","05:33:50",0.121,0
"2022-01-06","06:33:50",-0.887,0
"2022-01-06","07:33:50",-1.228,0
"2022-01-06","08:33:50",-0.774,581.3
"2022-01-06","09:33:50",0.121,1980.6
"2022-01-06","10:33:50",7.079,33066.9
"2022-01-06","11:33:50",8.382,34444.7
"2022-01-06","12:33:50",9.669,34444.7
"2022-01-06","13:33:50",9.472,33066.9
"2022-01-06","14:33:50",8.68,23422.4
"2022-01-06","15:33:50",1.98,861.1
"2022-01-06","16:33:50",-1.456,32.3
"2022-01-06","17:33:50",-2.03,0
"2022-01-06","18:33:50",-2.727,0
"2022-01-06","19:33:50",0.232,0
"2022-01-06","20:33:50",0.232,0
"2022-01-06","21:33:50",-0.102,0
"2022-01-06","22:33:50",-1.001,0
"2022-01-06","23:33:50",-1.341,0
"2022-01-07","00:33:50",-0.774,0
"2022-01-07","01:33:50",-1.001,0
"2022-01-07","02:33:50",-1.57,0
"2022-01-07","03:33:50",-1.684,0
"2022-01-07","04:33:50",-1.799,0
"2022-01-07","05:33:50",-1.684,0
"2022-01-07","06:33:50",-1.456,0
"2022-01-07","07:33:50",-1.114,0
"2022-01-07","08:33:50",-0.774,215.3
"2022-01-07","09:33:50",0.563,2669.5
"2022-01-07","10:33:50",1.872,5166.7
"2022-01-07","11:33:50",4.102,9300.1
"2022-01-07","12:33:50",3.155,2325
"2022-01-07","13:33:50",2.943,1980.6
"2022-01-07","14:33:50",2.624,1280.9
"2022-01-07","15:33:50",1.872,107.6
"2022-01-07","16:33:50",1.548,0
"2022-01-07","17:33:50",1.656,0
"2022-01-07","18:33:50",1.764,0
"2022-01-07","19:33:50",1.548,0
"2022-01-07","20:33:50",1.548,0
"2022-01-07","21:33:50",1.656,0
"2022-01-07","22:33:50",1.439,0
"2022-01-07","23:33:50",1.221,0
"2022-01-08","00:33:50",1.112,0
"2022-01-08","01:33:50",1.003,0
"2022-01-08","02:33:50",0.784,0
"2022-01-08","03:33:50",1.003,0
"2022-01-08","04:33:50",1.439,0
"2022-01-08","05:33:50",1.33,0
"2022-01-08","06:33:50",1.439,0
"2022-01-08","07:33:50",1.33,0
"2022-01-08","08:33:50",1.548,193.8
"2022-01-08","09:33:50",1.656,2411.1
"2022-01-08","10:33:50",1.764,3444.5
"2022-01-08","11:33:50",2.517,10677.8
"2022-01-08","12:33:50",5.141,3788.9
"2022-01-08","13:33:50",2.73,1894.5
"2022-01-08","14:33:50",3.367,1722.2
"2022-01-08","15:33:50",2.837,258.3
"2022-01-08","16:33:50",2.73,0
"2022-01-08","17:33:50",2.837,0
"2022-01-08","18:33:50",2.624,0
"2022-01-08","19:33:50",2.303,0
"2022-01-08","20:33:50",1.439,0
"2022-01-08","21:33:50",0.784,0
"2022-01-08","22:33:50",0.563,0
"2022-01-08","23:33:50",0.121,0
"2022-01-09","00:33:50",-0.213,0
"2022-01-09","01:33:50",-0.437,0
"2022-01-09","02:33:50",-0.325,0
"2022-01-09","03:33:50",-1.114,0
"2022-01-09","04:33:50",-0.887,0
"2022-01-09","05:33:50",-0.887,0
"2022-01-09","06:33:50",-0.887,0
"2022-01-09","07:33:50",-0.437,0
"2022-01-09","08:33:50",-0.102,914.9
"2022-01-09","09:33:50",0.563,1636.1
"2022-01-09","10:33:50",1.33,1636.1
"2022-01-09","11:33:50",2.517,3961.1
"2022-01-09","12:33:50",3.049,3788.9
"2022-01-09","13:33:50",3.683,3444.5
"2022-01-09","14:33:50",3.367,1463.9
"2022-01-09","15:33:50",3.155,699.7
"2022-01-09","16:33:50",2.837,0
"2022-01-09","17:33:50",2.837,0
"2022-01-09","18:33:50",2.837,0
