"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-17","15:30:46",19.567,344.4
"2021-12-17","16:30:46",5.86,0
"2021-12-17","17:30:46",5.757,0
"2021-12-17","18:30:46",5.757,0
"2021-12-17","19:30:46",5.655,0
"2021-12-17","20:30:46",5.552,0
"2021-12-17","21:30:46",5.244,0
"2021-12-17","22:30:46",5.037,0
"2021-12-17","23:30:46",4.934,0
"2021-12-18","00:30:46",4.831,0
"2021-12-18","01:30:46",4.934,0
"2021-12-18","02:30:46",4.934,0
"2021-12-18","03:30:46",5.141,0
"2021-12-18","04:30:46",5.141,0
"2021-12-18","05:30:46",5.141,0
"2021-12-18","06:30:46",5.244,0
"2021-12-18","07:30:46",5.244,0
"2021-12-18","08:30:46",5.244,96.9
"2021-12-18","09:30:46",5.244,635.1
"2021-12-18","10:30:46",5.552,1377.8
"2021-12-18","11:30:46",5.962,1463.9
"2021-12-18","12:30:46",6.268,1377.8
"2021-12-18","13:30:46",6.471,1894.5
"2021-12-18","14:30:46",6.674,850.4
"2021-12-18","15:30:46",6.674,193.8
"2021-12-18","16:30:46",6.268,0
"2021-12-18","17:30:46",6.573,0
"2021-12-18","18:30:46",6.573,0
"2021-12-18","19:30:46",6.573,0
"2021-12-18","20:30:46",6.877,0
"2021-12-18","21:30:46",7.28,0
"2021-12-18","22:30:46",7.782,0
"2021-12-18","23:30:46",7.481,0
"2021-12-19","00:30:46",7.28,0
"2021-12-19","01:30:46",7.28,0
"2021-12-19","02:30:46",7.179,0
"2021-12-19","03:30:46",7.079,0
"2021-12-19","04:30:46",7.179,0
"2021-12-19","05:30:46",7.28,0
"2021-12-19","06:30:46",6.978,0
"2021-12-19","07:30:46",6.775,0
"2021-12-19","08:30:46",6.775,96.9
"2021-12-19","09:30:46",6.471,1302.4
"2021-12-19","10:30:46",6.471,1636.1
"2021-12-19","11:30:46",6.674,1550
"2021-12-19","12:30:46",6.775,2755.6
"2021-12-19","13:30:46",6.775,1894.5
