"Plot-Titel: GDB"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047844, SEN S/N: 21047844, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047844, SEN S/N: 21047844, LBL: Lux)"
1,12.29.21 11:12:39 AM,15.473,3272.2
2,12.29.21 12:12:39 PM,5.552,1151.7
3,12.29.21 01:12:39 PM,5.347,495.1
4,12.29.21 02:12:39 PM,5.655,570.5
5,12.29.21 03:12:39 PM,5.552,183.0
6,12.29.21 04:12:39 PM,5.244,0.0
7,12.29.21 05:12:39 PM,5.141,0.0
8,12.29.21 06:12:39 PM,4.934,0.0
9,12.29.21 07:12:39 PM,4.934,0.0
10,12.29.21 08:12:39 PM,4.415,0.0
11,12.29.21 09:12:39 PM,4.623,0.0
12,12.29.21 10:12:39 PM,4.623,0.0
13,12.29.21 11:12:39 PM,4.727,0.0
14,12.30.21 12:12:39 AM,4.727,0.0
15,12.30.21 01:12:39 AM,4.727,0.0
16,12.30.21 02:12:39 AM,4.934,0.0
17,12.30.21 03:12:39 AM,5.037,0.0
18,12.30.21 04:12:39 AM,5.450,0.0
19,12.30.21 05:12:39 AM,6.166,0.0
20,12.30.21 06:12:39 AM,7.481,0.0
21,12.30.21 07:12:39 AM,7.983,0.0
22,12.30.21 08:12:39 AM,7.882,64.6
23,12.30.21 09:12:39 AM,8.282,1463.9
24,12.30.21 10:12:39 AM,8.481,559.7
25,12.30.21 11:12:39 AM,9.077,1377.8
26,12.30.21 12:12:39 PM,9.373,1636.1
27,12.30.21 01:12:39 PM,9.275,1011.8
28,12.30.21 02:12:39 PM,9.275,613.5
29,12.30.21 03:12:39 PM,9.669,204.5
30,12.30.21 04:12:39 PM,10.161,0.0
31,12.30.21 05:12:39 PM,11.722,0.0
32,12.30.21 06:12:39 PM,12.207,0.0
33,12.30.21 07:12:39 PM,12.401,0.0
34,12.30.21 08:12:39 PM,12.594,0.0
35,12.30.21 09:12:39 PM,12.594,0.0
36,12.30.21 10:12:39 PM,12.594,0.0
37,12.30.21 11:12:39 PM,12.594,0.0
38,12.31.21 12:12:39 AM,12.883,0.0
39,12.31.21 01:12:39 AM,12.787,0.0
40,12.31.21 02:12:39 AM,12.787,0.0
41,12.31.21 03:12:39 AM,13.076,0.0
42,12.31.21 04:12:39 AM,12.883,0.0
43,12.31.21 05:12:39 AM,13.076,0.0
44,12.31.21 06:12:39 AM,12.980,0.0
45,12.31.21 07:12:39 AM,13.076,0.0
46,12.31.21 08:12:39 AM,13.173,64.6
47,12.31.21 09:12:39 AM,13.461,559.7
48,12.31.21 10:12:39 AM,13.942,2755.6
49,12.31.21 11:12:39 AM,14.038,1550.0
50,12.31.21 12:12:39 PM,13.461,1248.6
51,12.31.21 01:12:39 PM,13.942,1334.7
52,12.31.21 02:12:39 PM,14.134,742.7
53,12.31.21 03:12:39 PM,14.230,409.0
54,12.31.21 04:12:39 PM,14.038,10.8
55,12.31.21 05:12:39 PM,13.846,0.0
56,12.31.21 06:12:39 PM,11.722,0.0
57,12.31.21 07:12:39 PM,11.528,0.0
58,12.31.21 08:12:39 PM,11.625,0.0
59,12.31.21 09:12:39 PM,11.722,0.0
60,12.31.21 10:12:39 PM,11.819,0.0
61,12.31.21 11:12:39 PM,11.916,0.0
62,01.01.22 12:12:39 AM,12.013,0.0
63,01.01.22 01:12:39 AM,11.916,0.0
64,01.01.22 02:12:39 AM,12.207,0.0
65,01.01.22 03:12:39 AM,11.819,0.0
66,01.01.22 04:12:39 AM,11.722,0.0
67,01.01.22 05:12:39 AM,11.722,0.0
68,01.01.22 06:12:39 AM,11.722,0.0
69,01.01.22 07:12:39 AM,11.722,0.0
70,01.01.22 08:12:39 AM,12.013,53.8
71,01.01.22 09:12:39 AM,12.013,236.8
72,01.01.22 10:12:39 AM,12.304,1550.0
73,01.01.22 11:12:39 AM,12.594,1108.7
74,01.01.22 12:12:39 PM,12.690,1636.1
75,01.01.22 01:12:39 PM,13.173,1894.5
76,01.01.22 02:12:39 PM,12.690,914.9
77,01.01.22 03:12:39 PM,12.594,473.6
78,01.01.22 04:12:39 PM,12.304,21.5
79,01.01.22 05:12:39 PM,12.110,0.0
80,01.01.22 06:12:39 PM,11.916,0.0
81,01.01.22 07:12:39 PM,11.916,0.0
82,01.01.22 08:12:39 PM,11.819,0.0
83,01.01.22 09:12:39 PM,11.139,0.0
84,01.01.22 10:12:39 PM,11.236,0.0
85,01.01.22 11:12:39 PM,10.455,0.0
86,01.02.22 12:12:39 AM,10.357,0.0
87,01.02.22 01:12:39 AM,9.866,0.0
88,01.02.22 02:12:39 AM,9.176,0.0
89,01.02.22 03:12:39 AM,8.581,0.0
90,01.02.22 04:12:39 AM,8.282,0.0
91,01.02.22 05:12:39 AM,8.282,0.0
92,01.02.22 06:12:39 AM,8.182,0.0
93,01.02.22 07:12:39 AM,7.682,0.0
94,01.02.22 08:12:39 AM,7.983,10.8
95,01.02.22 09:12:39 AM,8.879,624.3
96,01.02.22 10:12:39 AM,9.965,1097.9
97,01.02.22 11:12:39 AM,10.651,2066.7
98,01.02.22 12:12:39 PM,10.651,796.5
99,01.02.22 01:12:39 PM,10.357,775.0
100,01.02.22 02:12:39 PM,10.161,376.7
101,01.02.22 03:12:39 PM,9.965,247.6
102,01.02.22 04:12:39 PM,9.866,53.8
103,01.02.22 05:12:39 PM,10.259,0.0
104,01.02.22 06:12:39 PM,10.748,0.0
105,01.02.22 07:12:39 PM,10.846,0.0
106,01.02.22 08:12:39 PM,11.722,0.0
107,01.02.22 09:12:39 PM,11.528,0.0
108,01.02.22 10:12:39 PM,11.139,0.0
109,01.02.22 11:12:39 PM,10.846,0.0
110,01.03.22 12:12:39 AM,10.357,0.0
111,01.03.22 01:12:39 AM,9.669,0.0
112,01.03.22 02:12:39 AM,9.669,0.0
113,01.03.22 03:12:39 AM,8.879,0.0
114,01.03.22 04:12:39 AM,8.680,0.0
115,01.03.22 05:12:39 AM,8.779,0.0
116,01.03.22 06:12:39 AM,8.382,0.0
117,01.03.22 07:12:39 AM,7.481,0.0
118,01.03.22 08:12:39 AM,7.983,53.8
119,01.03.22 09:12:39 AM,8.481,645.8
120,01.03.22 10:12:39 AM,9.275,2927.8
121,01.03.22 11:12:39 AM,10.161,2927.8
122,01.03.22 12:12:39 PM,9.965,2066.7
123,01.03.22 01:12:39 PM,12.304,11022.3
124,01.03.22 02:12:39 PM,11.139,2755.6
125,01.03.22 03:12:39 PM,10.651,624.3
126,01.03.22 04:12:39 PM,10.455,21.5
127,01.03.22 05:12:39 PM,8.680,0.0
128,01.03.22 06:12:39 PM,8.581,0.0
129,01.03.22 07:12:39 PM,7.481,0.0
130,01.03.22 08:12:39 PM,7.682,0.0
131,01.03.22 09:12:39 PM,7.381,0.0
