"Plot-Titel: PGK"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21047856, SEN S/N: 21047856, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047856, SEN S/N: 21047856, LBL: Lux)"
1,07.26.22 11:07:09 AM,27.370,10333.4
2,07.26.22 12:07:09 PM,27.764,3444.5
3,07.26.22 01:07:09 PM,26.781,2755.6
4,07.26.22 02:07:09 PM,23.869,1894.5
5,07.26.22 03:07:09 PM,18.331,1550.0
6,07.26.22 04:07:09 PM,20.329,3444.5
7,07.26.22 05:07:09 PM,21.569,3100.0
8,07.26.22 06:07:09 PM,21.187,904.2
9,07.26.22 07:07:09 PM,20.329,1151.7
10,07.26.22 08:07:09 PM,19.472,312.2
11,07.26.22 09:07:09 PM,18.045,21.5
12,07.26.22 10:07:09 PM,16.999,0.0
13,07.26.22 11:07:09 PM,16.427,0.0
14,07.27.22 12:07:09 AM,16.903,0.0
15,07.27.22 01:07:09 AM,16.713,0.0
16,07.27.22 02:07:09 AM,15.951,0.0
17,07.27.22 03:07:09 AM,14.517,0.0
18,07.27.22 04:07:09 AM,13.173,0.0
19,07.27.22 05:07:09 AM,12.110,10.8
20,07.27.22 06:07:09 AM,12.207,312.2
21,07.27.22 07:07:09 AM,13.750,1377.8
22,07.27.22 08:07:09 AM,14.517,1463.9
23,07.27.22 09:07:09 AM,17.665,3100.0
24,07.27.22 10:07:09 AM,19.092,2755.6
25,07.27.22 11:07:09 AM,19.853,3444.5
26,07.27.22 12:07:09 PM,18.711,3272.2
27,07.27.22 01:07:09 PM,23.869,5338.9
28,07.27.22 02:07:09 PM,21.855,3100.0
29,07.27.22 03:07:09 PM,23.196,4822.3
30,07.27.22 04:07:09 PM,24.641,3100.0
31,07.27.22 05:07:09 PM,21.760,2497.2
32,07.27.22 06:07:09 PM,21.378,2325.0
33,07.27.22 07:07:09 PM,20.234,624.3
34,07.27.22 08:07:09 PM,18.521,322.9
35,07.27.22 09:07:09 PM,16.523,21.5
36,07.27.22 10:07:09 PM,14.996,0.0
37,07.27.22 11:07:09 PM,14.900,0.0
38,07.28.22 12:07:09 AM,13.654,0.0
39,07.28.22 01:07:09 AM,12.594,0.0
40,07.28.22 02:07:09 AM,11.819,0.0
41,07.28.22 03:07:09 AM,11.139,0.0
42,07.28.22 04:07:09 AM,10.748,0.0
43,07.28.22 05:07:09 AM,10.259,0.0
44,07.28.22 06:07:09 AM,10.357,172.2
45,07.28.22 07:07:09 AM,12.594,1087.2
46,07.28.22 08:07:09 AM,14.900,1205.6
47,07.28.22 09:07:09 AM,17.570,1894.5
48,07.28.22 10:07:09 AM,19.948,4305.6
49,07.28.22 11:07:09 AM,22.046,5166.7
50,07.28.22 12:07:09 PM,25.708,8266.7
51,07.28.22 01:07:09 PM,28.754,2669.5
52,07.28.22 02:07:09 PM,27.272,11022.3
53,07.28.22 03:07:09 PM,27.468,12400.1
54,07.28.22 04:07:09 PM,27.862,6544.5
55,07.28.22 05:07:09 PM,23.966,2152.8
56,07.28.22 06:07:09 PM,22.717,1097.9
57,07.28.22 07:07:09 PM,21.473,538.2
58,07.28.22 08:07:09 PM,19.948,462.9
59,07.28.22 09:07:09 PM,17.950,0.0
60,07.28.22 10:07:09 PM,16.427,0.0
61,07.28.22 11:07:09 PM,15.760,0.0
62,07.29.22 12:07:09 AM,16.046,0.0
63,07.29.22 01:07:09 AM,15.091,0.0
64,07.29.22 02:07:09 AM,14.421,0.0
65,07.29.22 03:07:09 AM,14.613,0.0
66,07.29.22 04:07:09 AM,14.230,0.0
67,07.29.22 05:07:09 AM,14.421,43.1
68,07.29.22 06:07:09 AM,14.996,538.2
69,07.29.22 07:07:09 AM,15.664,990.3
70,07.29.22 08:07:09 AM,17.379,2411.1
