"Plot-Titel: PWVK"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21059586, SEN S/N: 21059586, LBL: Celsius)","Intensität, Lux (LGR S/N: 21059586, SEN S/N: 21059586, LBL: Lux)"
1,11.18.21 05:19:41 PM,15.664,0.0
2,11.18.21 06:19:41 PM,9.176,0.0
3,11.18.21 07:19:41 PM,8.382,0.0
4,11.18.21 08:19:41 PM,8.182,0.0
5,11.18.21 09:19:41 PM,8.182,0.0
6,11.18.21 10:19:41 PM,8.382,0.0
7,11.18.21 11:19:41 PM,9.077,0.0
8,11.19.21 12:19:41 AM,9.866,0.0
9,11.19.21 01:19:41 AM,10.063,0.0
10,11.19.21 02:19:41 AM,10.259,0.0
11,11.19.21 03:19:41 AM,10.553,0.0
12,11.19.21 04:19:41 AM,10.944,0.0
13,11.19.21 05:19:41 AM,10.944,0.0
14,11.19.21 06:19:41 AM,10.944,0.0
15,11.19.21 07:19:41 AM,11.431,0.0
16,11.19.21 08:19:41 AM,11.625,183.0
17,11.19.21 09:19:41 AM,12.013,882.6
18,11.19.21 10:19:41 AM,12.110,495.1
19,11.19.21 11:19:41 AM,12.110,484.4
20,11.19.21 12:19:41 PM,12.401,850.4
21,11.19.21 01:19:41 PM,12.883,645.8
22,11.19.21 02:19:41 PM,12.980,538.2
23,11.19.21 03:19:41 PM,13.269,495.1
24,11.19.21 04:19:41 PM,13.173,0.0
25,11.19.21 05:19:41 PM,12.980,0.0
26,11.19.21 06:19:41 PM,12.980,0.0
27,11.19.21 07:19:41 PM,12.690,0.0
28,11.19.21 08:19:41 PM,12.690,0.0
29,11.19.21 09:19:41 PM,12.594,0.0
30,11.19.21 10:19:41 PM,12.401,0.0
31,11.19.21 11:19:41 PM,12.207,0.0
32,11.20.21 12:19:41 AM,12.401,0.0
33,11.20.21 01:19:41 AM,12.304,0.0
34,11.20.21 02:19:41 AM,12.207,0.0
35,11.20.21 03:19:41 AM,12.110,0.0
36,11.20.21 04:19:41 AM,11.916,0.0
37,11.20.21 05:19:41 AM,11.528,0.0
38,11.20.21 06:19:41 AM,11.431,0.0
39,11.20.21 07:19:41 AM,11.431,0.0
40,11.20.21 08:19:41 AM,11.041,75.3
41,11.20.21 09:19:41 AM,10.944,785.8
42,11.20.21 10:19:41 AM,12.013,2497.2
43,11.20.21 11:19:41 AM,12.207,2411.1
44,11.20.21 12:19:41 PM,12.497,1722.2
45,11.20.21 01:19:41 PM,12.013,505.9
46,11.20.21 02:19:41 PM,12.401,958.0
47,11.20.21 03:19:41 PM,12.013,527.4
48,11.20.21 04:19:41 PM,11.625,21.5
49,11.20.21 05:19:41 PM,11.431,0.0
50,11.20.21 06:19:41 PM,11.334,0.0
51,11.20.21 07:19:41 PM,11.236,0.0
52,11.20.21 08:19:41 PM,10.846,0.0
53,11.20.21 09:19:41 PM,10.553,0.0
54,11.20.21 10:19:41 PM,10.357,0.0
55,11.20.21 11:19:41 PM,10.259,0.0
56,11.21.21 12:19:41 AM,10.357,0.0
57,11.21.21 01:19:41 AM,10.063,0.0
58,11.21.21 02:19:41 AM,9.965,0.0
59,11.21.21 03:19:41 AM,9.768,0.0
60,11.21.21 04:19:41 AM,9.571,0.0
61,11.21.21 05:19:41 AM,9.472,0.0
62,11.21.21 06:19:41 AM,9.275,0.0
63,11.21.21 07:19:41 AM,8.978,0.0
64,11.21.21 08:19:41 AM,9.077,387.5
65,11.21.21 09:19:41 AM,8.282,1377.8
66,11.21.21 10:19:41 AM,8.182,678.1
67,11.21.21 11:19:41 AM,8.481,990.3
68,11.21.21 12:19:41 PM,8.978,1033.3
69,11.21.21 01:19:41 PM,9.275,1463.9
70,11.21.21 02:19:41 PM,9.571,1463.9
71,11.21.21 03:19:41 PM,9.373,936.5
