"Plot-Titel: SCH"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047837, SEN S/N: 21047837, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047837, SEN S/N: 21047837, LBL: Lux)"
1,12.17.21 01:44:58 PM,15.187,1894.5
2,12.17.21 02:44:58 PM,6.674,613.5
3,12.17.21 03:44:58 PM,6.268,64.6
4,12.17.21 04:44:58 PM,5.962,0.0
5,12.17.21 05:44:58 PM,5.962,0.0
6,12.17.21 06:44:58 PM,5.860,0.0
7,12.17.21 07:44:58 PM,5.860,0.0
8,12.17.21 08:44:58 PM,5.552,0.0
9,12.17.21 09:44:58 PM,5.450,0.0
10,12.17.21 10:44:58 PM,5.141,0.0
11,12.17.21 11:44:58 PM,5.037,0.0
12,12.18.21 12:44:58 AM,5.037,0.0
13,12.18.21 01:44:58 AM,5.037,0.0
14,12.18.21 02:44:58 AM,5.141,0.0
15,12.18.21 03:44:58 AM,5.141,0.0
16,12.18.21 04:44:58 AM,5.244,0.0
17,12.18.21 05:44:58 AM,5.244,0.0
18,12.18.21 06:44:58 AM,5.244,0.0
19,12.18.21 07:44:58 AM,5.244,0.0
20,12.18.21 08:44:58 AM,5.347,129.2
21,12.18.21 09:44:58 AM,5.244,850.4
22,12.18.21 10:44:58 AM,5.655,925.7
23,12.18.21 11:44:58 AM,6.064,871.9
24,12.18.21 12:44:58 PM,6.268,1054.9
25,12.18.21 01:44:58 PM,6.471,796.5
26,12.18.21 02:44:58 PM,6.674,452.1
27,12.18.21 03:44:58 PM,6.471,43.1
28,12.18.21 04:44:58 PM,6.471,0.0
29,12.18.21 05:44:58 PM,6.674,0.0
30,12.18.21 06:44:58 PM,6.573,0.0
31,12.18.21 07:44:58 PM,6.775,0.0
32,12.18.21 08:44:58 PM,7.280,0.0
33,12.18.21 09:44:58 PM,7.682,0.0
34,12.18.21 10:44:58 PM,7.882,0.0
35,12.18.21 11:44:58 PM,7.582,0.0
36,12.19.21 12:44:58 AM,7.481,0.0
37,12.19.21 01:44:58 AM,7.481,0.0
38,12.19.21 02:44:58 AM,7.381,0.0
39,12.19.21 03:44:58 AM,7.381,0.0
40,12.19.21 04:44:58 AM,7.381,0.0
41,12.19.21 05:44:58 AM,7.280,0.0
42,12.19.21 06:44:58 AM,6.978,0.0
43,12.19.21 07:44:58 AM,6.978,0.0
44,12.19.21 08:44:58 AM,6.573,376.7
45,12.19.21 09:44:58 AM,6.370,1377.8
46,12.19.21 10:44:58 AM,6.370,1087.2
47,12.19.21 11:44:58 AM,6.370,1087.2
48,12.19.21 12:44:58 PM,6.573,1550.0
49,12.19.21 01:44:58 PM,6.573,699.7
50,12.19.21 02:44:58 PM,6.674,376.7
51,12.19.21 03:44:58 PM,6.573,53.8
52,12.19.21 04:44:58 PM,6.674,0.0
53,12.19.21 05:44:58 PM,6.166,0.0
54,12.19.21 06:44:58 PM,5.552,0.0
55,12.19.21 07:44:58 PM,5.655,0.0
56,12.19.21 08:44:58 PM,4.934,0.0
57,12.19.21 09:44:58 PM,3.155,0.0
58,12.19.21 10:44:58 PM,1.872,0.0
59,12.19.21 11:44:58 PM,1.439,0.0
60,12.20.21 12:44:58 AM,1.221,0.0
61,12.20.21 01:44:58 AM,0.784,0.0
62,12.20.21 02:44:58 AM,0.563,0.0
63,12.20.21 03:44:58 AM,0.453,0.0
64,12.20.21 04:44:58 AM,0.343,0.0
65,12.20.21 05:44:58 AM,0.121,0.0
66,12.20.21 06:44:58 AM,0.343,0.0
67,12.20.21 07:44:58 AM,0.343,0.0
68,12.20.21 08:44:58 AM,0.453,656.6
69,12.20.21 09:44:58 AM,2.943,7233.4
70,12.20.21 10:44:58 AM,4.519,11711.2
71,12.20.21 11:44:58 AM,2.730,3616.7
72,12.20.21 12:44:58 PM,4.207,7233.4
73,12.20.21 01:44:58 PM,3.472,3616.7
74,12.20.21 02:44:58 PM,3.578,1033.3
75,12.20.21 03:44:58 PM,3.155,150.7
76,12.20.21 04:44:58 PM,2.730,0.0
77,12.20.21 05:44:58 PM,2.517,0.0
78,12.20.21 06:44:58 PM,1.548,0.0
79,12.20.21 07:44:58 PM,0.674,0.0
80,12.20.21 08:44:58 PM,0.453,0.0
81,12.20.21 09:44:58 PM,1.003,0.0
82,12.20.21 10:44:58 PM,1.221,0.0
83,12.20.21 11:44:58 PM,1.003,0.0
84,12.21.21 12:44:58 AM,0.784,0.0
85,12.21.21 01:44:58 AM,0.674,0.0
86,12.21.21 02:44:58 AM,0.784,0.0
87,12.21.21 03:44:58 AM,0.893,0.0
88,12.21.21 04:44:58 AM,0.893,0.0
89,12.21.21 05:44:58 AM,0.893,0.0
90,12.21.21 06:44:58 AM,1.003,0.0
91,12.21.21 07:44:58 AM,0.893,0.0
92,12.21.21 08:44:58 AM,0.784,215.3
93,12.21.21 09:44:58 AM,1.112,861.1
94,12.21.21 10:44:58 AM,1.439,1377.8
95,12.21.21 11:44:58 AM,1.003,818.1
96,12.21.21 12:44:58 PM,1.221,1227.1
97,12.21.21 01:44:58 PM,1.003,656.6
98,12.21.21 02:44:58 PM,0.893,161.5
99,12.21.21 03:44:58 PM,0.453,53.8
100,12.21.21 04:44:58 PM,0.343,0.0
101,12.21.21 05:44:58 PM,-0.102,0.0
102,12.21.21 06:44:58 PM,0.010,0.0
103,12.21.21 07:44:58 PM,-0.102,0.0
104,12.21.21 08:44:58 PM,-0.213,0.0
105,12.21.21 09:44:58 PM,-0.437,0.0
