"Plot-Titel: SFM"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047836, SEN S/N: 21047836, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047836, SEN S/N: 21047836, LBL: Lux)"
1,12.29.21 11:33:50 AM,14.804,1980.6
2,12.29.21 12:33:50 PM,5.757,1162.5
3,12.29.21 01:33:50 PM,5.655,1011.8
4,12.29.21 02:33:50 PM,5.655,570.5
5,12.29.21 03:33:50 PM,5.552,118.4
6,12.29.21 04:33:50 PM,5.244,0.0
7,12.29.21 05:33:50 PM,5.037,0.0
8,12.29.21 06:33:50 PM,4.831,0.0
9,12.29.21 07:33:50 PM,4.727,0.0
10,12.29.21 08:33:50 PM,4.519,0.0
11,12.29.21 09:33:50 PM,4.831,0.0
12,12.29.21 10:33:50 PM,4.727,0.0
13,12.29.21 11:33:50 PM,4.727,0.0
14,12.30.21 12:33:50 AM,4.831,0.0
15,12.30.21 01:33:50 AM,4.727,0.0
16,12.30.21 02:33:50 AM,4.831,0.0
17,12.30.21 03:33:50 AM,5.552,0.0
18,12.30.21 04:33:50 AM,5.860,0.0
19,12.30.21 05:33:50 AM,6.471,0.0
20,12.30.21 06:33:50 AM,7.582,0.0
21,12.30.21 07:33:50 AM,7.983,0.0
22,12.30.21 08:33:50 AM,7.280,312.2
23,12.30.21 09:33:50 AM,8.382,1033.3
24,12.30.21 10:33:50 AM,9.077,2066.7
25,12.30.21 11:33:50 AM,9.176,1722.2
26,12.30.21 12:33:50 PM,9.373,1550.0
27,12.30.21 01:33:50 PM,9.275,861.1
28,12.30.21 02:33:50 PM,9.472,516.7
29,12.30.21 03:33:50 PM,10.063,129.2
30,12.30.21 04:33:50 PM,10.651,0.0
31,12.30.21 05:33:50 PM,11.916,0.0
32,12.30.21 06:33:50 PM,12.110,0.0
33,12.30.21 07:33:50 PM,12.401,0.0
34,12.30.21 08:33:50 PM,12.401,0.0
35,12.30.21 09:33:50 PM,12.304,0.0
36,12.30.21 10:33:50 PM,12.401,0.0
37,12.30.21 11:33:50 PM,12.401,0.0
38,12.31.21 12:33:50 AM,12.690,0.0
39,12.31.21 01:33:50 AM,12.690,0.0
40,12.31.21 02:33:50 AM,12.883,0.0
41,12.31.21 03:33:50 AM,12.883,0.0
42,12.31.21 04:33:50 AM,12.594,0.0
43,12.31.21 05:33:50 AM,12.787,0.0
44,12.31.21 06:33:50 AM,12.980,0.0
45,12.31.21 07:33:50 AM,12.980,0.0
46,12.31.21 08:33:50 AM,12.980,172.2
