"Plot-Titel: WS"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047843, SEN S/N: 21047843, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047843, SEN S/N: 21047843, LBL: Lux)"
1,12.29.21 10:46:14 AM,16.999,2583.4
2,12.29.21 11:46:14 AM,5.655,839.6
3,12.29.21 12:46:14 PM,5.757,688.9
4,12.29.21 01:46:14 PM,5.757,785.8
5,12.29.21 02:46:14 PM,5.450,301.4
6,12.29.21 03:46:14 PM,5.244,32.3
7,12.29.21 04:46:14 PM,5.141,0.0
8,12.29.21 05:46:14 PM,4.934,0.0
9,12.29.21 06:46:14 PM,4.727,0.0
10,12.29.21 07:46:14 PM,4.623,0.0
11,12.29.21 08:46:14 PM,4.623,0.0
12,12.29.21 09:46:14 PM,4.727,0.0
13,12.29.21 10:46:14 PM,4.831,0.0
14,12.29.21 11:46:14 PM,4.831,0.0
15,12.30.21 12:46:14 AM,4.727,0.0
16,12.30.21 01:46:14 AM,5.037,0.0
17,12.30.21 02:46:14 AM,5.141,0.0
18,12.30.21 03:46:14 AM,5.450,0.0
19,12.30.21 04:46:14 AM,6.268,0.0
20,12.30.21 05:46:14 AM,6.978,0.0
21,12.30.21 06:46:14 AM,7.381,0.0
22,12.30.21 07:46:14 AM,7.782,0.0
23,12.30.21 08:46:14 AM,7.882,301.4
24,12.30.21 09:46:14 AM,8.581,462.9
25,12.30.21 10:46:14 AM,9.077,742.7
26,12.30.21 11:46:14 AM,9.077,2325.0
27,12.30.21 12:46:14 PM,9.373,1033.3
28,12.30.21 01:46:14 PM,9.373,1151.7
29,12.30.21 02:46:14 PM,9.571,312.2
30,12.30.21 03:46:14 PM,10.259,64.6
31,12.30.21 04:46:14 PM,11.236,0.0
32,12.30.21 05:46:14 PM,11.819,0.0
33,12.30.21 06:46:14 PM,12.013,0.0
34,12.30.21 07:46:14 PM,12.207,0.0
35,12.30.21 08:46:14 PM,12.304,0.0
36,12.30.21 09:46:14 PM,12.304,0.0
37,12.30.21 10:46:14 PM,12.401,0.0
38,12.30.21 11:46:14 PM,12.497,0.0
39,12.31.21 12:46:14 AM,12.594,0.0
40,12.31.21 01:46:14 AM,12.401,0.0
41,12.31.21 02:46:14 AM,12.787,0.0
42,12.31.21 03:46:14 AM,12.690,0.0
43,12.31.21 04:46:14 AM,12.497,0.0
44,12.31.21 05:46:14 AM,12.690,0.0
45,12.31.21 06:46:14 AM,12.883,0.0
46,12.31.21 07:46:14 AM,12.980,0.0
47,12.31.21 08:46:14 AM,13.076,484.4
48,12.31.21 09:46:14 AM,13.558,1377.8
49,12.31.21 10:46:14 AM,13.654,1334.7
50,12.31.21 11:46:14 AM,13.846,775.0
51,12.31.21 12:46:14 PM,13.942,914.9
52,12.31.21 01:46:14 PM,14.230,1237.9
53,12.31.21 02:46:14 PM,14.230,861.1
54,12.31.21 03:46:14 PM,14.134,462.9
55,12.31.21 04:46:14 PM,14.038,0.0
56,12.31.21 05:46:14 PM,12.304,0.0
57,12.31.21 06:46:14 PM,11.528,0.0
58,12.31.21 07:46:14 PM,11.625,0.0
59,12.31.21 08:46:14 PM,11.722,0.0
60,12.31.21 09:46:14 PM,11.916,0.0
61,12.31.21 10:46:14 PM,11.916,0.0
62,12.31.21 11:46:14 PM,11.916,0.0
63,01.01.22 12:46:14 AM,11.916,0.0
64,01.01.22 01:46:14 AM,12.110,0.0
65,01.01.22 02:46:14 AM,12.013,0.0
66,01.01.22 03:46:14 AM,11.916,0.0
67,01.01.22 04:46:14 AM,11.722,0.0
68,01.01.22 05:46:14 AM,11.625,0.0
69,01.01.22 06:46:14 AM,11.625,0.0
70,01.01.22 07:46:14 AM,11.722,0.0
71,01.01.22 08:46:14 AM,11.819,172.2
72,01.01.22 09:46:14 AM,12.013,1022.6
73,01.01.22 10:46:14 AM,12.497,1550.0
74,01.01.22 11:46:14 AM,12.594,1636.1
75,01.01.22 12:46:14 PM,12.980,2325.0
76,01.01.22 01:46:14 PM,12.690,667.4
77,01.01.22 02:46:14 PM,12.594,635.1
78,01.01.22 03:46:14 PM,12.304,236.8
79,01.01.22 04:46:14 PM,12.207,0.0
80,01.01.22 05:46:14 PM,12.401,0.0
81,01.01.22 06:46:14 PM,12.401,0.0
82,01.01.22 07:46:14 PM,12.110,0.0
83,01.01.22 08:46:14 PM,12.110,0.0
84,01.01.22 09:46:14 PM,11.528,0.0
85,01.01.22 10:46:14 PM,11.334,0.0
86,01.01.22 11:46:14 PM,10.944,0.0
87,01.02.22 12:46:14 AM,10.651,0.0
88,01.02.22 01:46:14 AM,9.669,0.0
89,01.02.22 02:46:14 AM,9.275,0.0
90,01.02.22 03:46:14 AM,8.581,0.0
91,01.02.22 04:46:14 AM,8.581,0.0
92,01.02.22 05:46:14 AM,8.779,0.0
93,01.02.22 06:46:14 AM,8.382,0.0
94,01.02.22 07:46:14 AM,8.382,0.0
95,01.02.22 08:46:14 AM,8.978,505.9
96,01.02.22 09:46:14 AM,10.357,828.8
97,01.02.22 10:46:14 AM,10.748,1291.7
98,01.02.22 11:46:14 AM,11.625,1636.1
99,01.02.22 12:46:14 PM,10.651,925.7
100,01.02.22 01:46:14 PM,10.357,355.2
101,01.02.22 02:46:14 PM,10.259,172.2
102,01.02.22 03:46:14 PM,10.063,43.1
103,01.02.22 04:46:14 PM,10.553,0.0
104,01.02.22 05:46:14 PM,11.139,0.0
105,01.02.22 06:46:14 PM,11.334,0.0
106,01.02.22 07:46:14 PM,11.625,0.0
107,01.02.22 08:46:14 PM,11.528,0.0
108,01.02.22 09:46:14 PM,11.139,0.0
109,01.02.22 10:46:14 PM,10.846,0.0
110,01.02.22 11:46:14 PM,11.041,0.0
111,01.03.22 12:46:14 AM,10.455,0.0
112,01.03.22 01:46:14 AM,9.965,0.0
113,01.03.22 02:46:14 AM,9.472,0.0
114,01.03.22 03:46:14 AM,9.176,0.0
115,01.03.22 04:46:14 AM,9.275,0.0
116,01.03.22 05:46:14 AM,8.680,0.0
117,01.03.22 06:46:14 AM,8.182,0.0
118,01.03.22 07:46:14 AM,7.983,0.0
119,01.03.22 08:46:14 AM,8.082,581.3
120,01.03.22 09:46:14 AM,8.879,2669.5
121,01.03.22 10:46:14 AM,9.472,3272.2
122,01.03.22 11:46:14 AM,10.259,2066.7
123,01.03.22 12:46:14 PM,10.748,5338.9
124,01.03.22 01:46:14 PM,10.944,3100.0
125,01.03.22 02:46:14 PM,10.748,4305.6
126,01.03.22 03:46:14 PM,10.748,312.2
127,01.03.22 04:46:14 PM,10.259,0.0
128,01.03.22 05:46:14 PM,9.176,0.0
129,01.03.22 06:46:14 PM,8.779,0.0
130,01.03.22 07:46:14 PM,7.983,0.0
131,01.03.22 08:46:14 PM,7.682,0.0
132,01.03.22 09:46:14 PM,7.582,0.0
133,01.03.22 10:46:14 PM,7.179,0.0
134,01.03.22 11:46:14 PM,7.079,0.0
135,01.04.22 12:46:14 AM,6.775,0.0
136,01.04.22 01:46:14 AM,7.079,0.0
137,01.04.22 02:46:14 AM,6.674,0.0
138,01.04.22 03:46:14 AM,6.268,0.0
139,01.04.22 04:46:14 AM,5.860,0.0
140,01.04.22 05:46:14 AM,5.962,0.0
141,01.04.22 06:46:14 AM,5.655,0.0
142,01.04.22 07:46:14 AM,5.757,0.0
143,01.04.22 08:46:14 AM,6.166,290.6
144,01.04.22 09:46:14 AM,7.079,516.7
145,01.04.22 10:46:14 AM,7.582,904.2
146,01.04.22 11:46:14 AM,7.079,1377.8
147,01.04.22 12:46:14 PM,6.978,1345.5
148,01.04.22 01:46:14 PM,6.978,785.8
149,01.04.22 02:46:14 PM,7.179,871.9
150,01.04.22 03:46:14 PM,6.978,204.5
151,01.04.22 04:46:14 PM,7.079,0.0
152,01.04.22 05:46:14 PM,7.079,0.0
153,01.04.22 06:46:14 PM,7.179,0.0
154,01.04.22 07:46:14 PM,6.573,0.0
155,01.04.22 08:46:14 PM,6.166,0.0
156,01.04.22 09:46:14 PM,5.860,0.0
157,01.04.22 10:46:14 PM,5.655,0.0
158,01.04.22 11:46:14 PM,4.519,0.0
159,01.05.22 12:46:14 AM,3.788,0.0
160,01.05.22 01:46:14 AM,3.788,0.0
161,01.05.22 02:46:14 AM,3.893,0.0
162,01.05.22 03:46:14 AM,4.102,0.0
163,01.05.22 04:46:14 AM,3.893,0.0
164,01.05.22 05:46:14 AM,4.102,0.0
165,01.05.22 06:46:14 AM,3.261,0.0
166,01.05.22 07:46:14 AM,3.578,0.0
167,01.05.22 08:46:14 AM,3.683,366.0
168,01.05.22 09:46:14 AM,3.578,979.5
169,01.05.22 10:46:14 AM,4.623,4477.8
170,01.05.22 11:46:14 AM,4.519,2325.0
171,01.05.22 12:46:14 PM,5.962,8611.2
172,01.05.22 01:46:14 PM,4.831,764.2
173,01.05.22 02:46:14 PM,4.415,355.2
174,01.05.22 03:46:14 PM,3.472,53.8
175,01.05.22 04:46:14 PM,3.472,0.0
176,01.05.22 05:46:14 PM,3.155,0.0
177,01.05.22 06:46:14 PM,3.998,0.0
178,01.05.22 07:46:14 PM,4.207,0.0
179,01.05.22 08:46:14 PM,4.623,0.0
180,01.05.22 09:46:14 PM,4.415,0.0
181,01.05.22 10:46:14 PM,4.207,0.0
182,01.05.22 11:46:14 PM,4.311,0.0
