"Date","Time","Temp_Celsius","Intensity_Lux"
"2022-06-14","10:09:09",20.329,376.7
"2022-06-14","10:39:09",22.908,38578
"2022-06-14","11:09:09",20.805,10333.4
"2022-06-14","11:39:09",19.282,9644.5
"2022-06-14","12:09:09",20.424,15155.7
"2022-06-14","12:39:09",19.472,19289
"2022-06-14","13:09:09",18.616,11022.3
"2022-06-14","13:39:09",22.238,14466.8
"2022-06-14","14:09:09",24.255,18600.1
"2022-06-14","14:39:09",21.855,13089
"2022-06-14","15:09:09",23.484,37200.2
"2022-06-14","15:39:09",24.545,30311.3
"2022-06-14","16:09:09",25.028,22044.6
"2022-06-14","16:39:09",23.869,17222.3
"2022-06-14","17:09:09",22.812,9300.1
"2022-06-14","17:39:09",23.292,16533.4
"2022-06-14","18:09:09",24.641,20666.8
"2022-06-14","18:39:09",23.581,17222.3
"2022-06-14","19:09:09",21.473,10677.8
"2022-06-14","19:39:09",19.472,4650
"2022-06-14","20:09:09",18.711,1808.3
"2022-06-14","20:39:09",18.14,2411.1
"2022-06-14","21:09:09",17.189,1280.9
"2022-06-14","21:39:09",15.951,64.6
"2022-06-14","22:09:09",14.517,0
"2022-06-14","22:39:09",12.98,0
"2022-06-14","23:09:09",11.139,0
"2022-06-14","23:39:09",10.455,0
"2022-06-15","00:09:09",9.472,0
"2022-06-15","00:39:09",8.978,0
"2022-06-15","01:09:09",8.581,0
"2022-06-15","01:39:09",8.282,0
"2022-06-15","02:09:09",8.182,0
"2022-06-15","02:39:09",7.682,0
"2022-06-15","03:09:09",7.582,0
"2022-06-15","03:39:09",7.179,0
"2022-06-15","04:09:09",6.978,0
"2022-06-15","04:39:09",6.674,75.3
"2022-06-15","05:09:09",6.775,344.4
"2022-06-15","05:39:09",7.079,871.9
"2022-06-15","06:09:09",8.282,2325
"2022-06-15","06:39:09",10.161,2411.1
"2022-06-15","07:09:09",13.558,19977.9
"2022-06-15","07:39:09",19.567,7233.4
"2022-06-15","08:09:09",24.062,26178
"2022-06-15","08:39:09",25.805,31689.1
"2022-06-15","09:09:09",21.855,24800.2
"2022-06-15","09:39:09",23.004,18600.1
"2022-06-15","10:09:09",28.853,34444.7
"2022-06-15","10:39:09",28.655,34444.7
"2022-06-15","11:09:09",18.616,30311.3
"2022-06-15","11:39:09",19.282,34444.7
"2022-06-15","12:09:09",22.046,34444.7
"2022-06-15","12:39:09",25.319,30311.3
"2022-06-15","13:09:09",26.683,33066.9
"2022-06-15","13:39:09",30.154,33066.9
"2022-06-15","14:09:09",29.652,33066.9
"2022-06-15","14:39:09",31.983,33066.9
"2022-06-15","15:09:09",31.472,28933.5
"2022-06-15","15:39:09",31.983,28933.5
"2022-06-15","16:09:09",30.659,26178
"2022-06-15","16:39:09",28.754,15155.7
"2022-06-15","17:09:09",29.053,16533.4
"2022-06-15","17:39:09",28.754,13089
"2022-06-15","18:09:09",29.352,16533.4
"2022-06-15","18:39:09",29.053,16533.4
"2022-06-15","19:09:09",28.159,10677.8
"2022-06-15","19:39:09",27.37,6200
"2022-06-15","20:09:09",25.805,3100
"2022-06-15","20:39:09",22.525,839.6
"2022-06-15","21:09:09",21.473,570.5
"2022-06-15","21:39:09",20.138,64.6
"2022-06-15","22:09:09",19.948,0
"2022-06-15","22:39:09",18.996,0
"2022-06-15","23:09:09",17.76,0
"2022-06-15","23:39:09",17.76,0
"2022-06-16","00:09:09",17.475,0
"2022-06-16","00:39:09",16.427,0
"2022-06-16","01:09:09",15.664,0
"2022-06-16","01:39:09",15.855,0
"2022-06-16","02:09:09",15.855,0
"2022-06-16","02:39:09",14.996,0
"2022-06-16","03:09:09",14.421,0
"2022-06-16","03:39:09",13.75,0
"2022-06-16","04:09:09",13.846,0
"2022-06-16","04:39:09",13.846,96.9
"2022-06-16","05:09:09",13.846,441.3
"2022-06-16","05:39:09",14.134,1334.7
"2022-06-16","06:09:09",14.134,3444.5
"2022-06-16","06:39:09",13.173,4305.6
"2022-06-16","07:09:09",13.75,10677.8
"2022-06-16","07:39:09",17.475,21355.7
"2022-06-16","08:09:09",20.138,30311.3
"2022-06-16","08:39:09",22.812,18600.1
"2022-06-16","09:09:09",24.062,30311.3
"2022-06-16","09:39:09",24.931,15844.5
"2022-06-16","10:09:09",25.028,26178
"2022-06-16","10:39:09",29.252,39955.8
"2022-06-16","11:09:09",30.356,30311.3
"2022-06-16","11:39:09",28.853,41333.6
"2022-06-16","12:09:09",31.472,39955.8
"2022-06-16","12:39:09",29.452,31689.1
"2022-06-16","13:09:09",28.357,23422.4
"2022-06-16","13:39:09",31.37,41333.6
"2022-06-16","14:09:09",29.853,33066.9
"2022-06-16","14:39:09",31.268,33066.9
"2022-06-16","15:09:09",28.953,8266.7
