"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-29","11:12:39",15.473,3272.2
"2021-12-29","12:12:39",5.552,1151.7
"2021-12-29","13:12:39",5.347,495.1
"2021-12-29","14:12:39",5.655,570.5
"2021-12-29","15:12:39",5.552,183
"2021-12-29","16:12:39",5.244,0
"2021-12-29","17:12:39",5.141,0
"2021-12-29","18:12:39",4.934,0
"2021-12-29","19:12:39",4.934,0
"2021-12-29","20:12:39",4.415,0
"2021-12-29","21:12:39",4.623,0
"2021-12-29","22:12:39",4.623,0
"2021-12-29","23:12:39",4.727,0
"2021-12-30","00:12:39",4.727,0
"2021-12-30","01:12:39",4.727,0
"2021-12-30","02:12:39",4.934,0
"2021-12-30","03:12:39",5.037,0
"2021-12-30","04:12:39",5.45,0
"2021-12-30","05:12:39",6.166,0
"2021-12-30","06:12:39",7.481,0
"2021-12-30","07:12:39",7.983,0
"2021-12-30","08:12:39",7.882,64.6
"2021-12-30","09:12:39",8.282,1463.9
"2021-12-30","10:12:39",8.481,559.7
"2021-12-30","11:12:39",9.077,1377.8
"2021-12-30","12:12:39",9.373,1636.1
"2021-12-30","13:12:39",9.275,1011.8
"2021-12-30","14:12:39",9.275,613.5
"2021-12-30","15:12:39",9.669,204.5
"2021-12-30","16:12:39",10.161,0
"2021-12-30","17:12:39",11.722,0
"2021-12-30","18:12:39",12.207,0
"2021-12-30","19:12:39",12.401,0
"2021-12-30","20:12:39",12.594,0
"2021-12-30","21:12:39",12.594,0
"2021-12-30","22:12:39",12.594,0
"2021-12-30","23:12:39",12.594,0
"2021-12-31","00:12:39",12.883,0
"2021-12-31","01:12:39",12.787,0
"2021-12-31","02:12:39",12.787,0
"2021-12-31","03:12:39",13.076,0
"2021-12-31","04:12:39",12.883,0
"2021-12-31","05:12:39",13.076,0
"2021-12-31","06:12:39",12.98,0
"2021-12-31","07:12:39",13.076,0
"2021-12-31","08:12:39",13.173,64.6
"2021-12-31","09:12:39",13.461,559.7
"2021-12-31","10:12:39",13.942,2755.6
"2021-12-31","11:12:39",14.038,1550
"2021-12-31","12:12:39",13.461,1248.6
"2021-12-31","13:12:39",13.942,1334.7
"2021-12-31","14:12:39",14.134,742.7
"2021-12-31","15:12:39",14.23,409
"2021-12-31","16:12:39",14.038,10.8
"2021-12-31","17:12:39",13.846,0
"2021-12-31","18:12:39",11.722,0
"2021-12-31","19:12:39",11.528,0
"2021-12-31","20:12:39",11.625,0
"2021-12-31","21:12:39",11.722,0
"2021-12-31","22:12:39",11.819,0
"2021-12-31","23:12:39",11.916,0
"2022-01-01","00:12:39",12.013,0
"2022-01-01","01:12:39",11.916,0
"2022-01-01","02:12:39",12.207,0
"2022-01-01","03:12:39",11.819,0
"2022-01-01","04:12:39",11.722,0
"2022-01-01","05:12:39",11.722,0
"2022-01-01","06:12:39",11.722,0
"2022-01-01","07:12:39",11.722,0
"2022-01-01","08:12:39",12.013,53.8
"2022-01-01","09:12:39",12.013,236.8
"2022-01-01","10:12:39",12.304,1550
"2022-01-01","11:12:39",12.594,1108.7
"2022-01-01","12:12:39",12.69,1636.1
"2022-01-01","13:12:39",13.173,1894.5
"2022-01-01","14:12:39",12.69,914.9
"2022-01-01","15:12:39",12.594,473.6
"2022-01-01","16:12:39",12.304,21.5
"2022-01-01","17:12:39",12.11,0
"2022-01-01","18:12:39",11.916,0
"2022-01-01","19:12:39",11.916,0
"2022-01-01","20:12:39",11.819,0
"2022-01-01","21:12:39",11.139,0
"2022-01-01","22:12:39",11.236,0
"2022-01-01","23:12:39",10.455,0
"2022-01-02","00:12:39",10.357,0
"2022-01-02","01:12:39",9.866,0
"2022-01-02","02:12:39",9.176,0
"2022-01-02","03:12:39",8.581,0
"2022-01-02","04:12:39",8.282,0
"2022-01-02","05:12:39",8.282,0
"2022-01-02","06:12:39",8.182,0
"2022-01-02","07:12:39",7.682,0
"2022-01-02","08:12:39",7.983,10.8
"2022-01-02","09:12:39",8.879,624.3
"2022-01-02","10:12:39",9.965,1097.9
"2022-01-02","11:12:39",10.651,2066.7
"2022-01-02","12:12:39",10.651,796.5
"2022-01-02","13:12:39",10.357,775
"2022-01-02","14:12:39",10.161,376.7
"2022-01-02","15:12:39",9.965,247.6
"2022-01-02","16:12:39",9.866,53.8
"2022-01-02","17:12:39",10.259,0
"2022-01-02","18:12:39",10.748,0
"2022-01-02","19:12:39",10.846,0
"2022-01-02","20:12:39",11.722,0
"2022-01-02","21:12:39",11.528,0
"2022-01-02","22:12:39",11.139,0
"2022-01-02","23:12:39",10.846,0
"2022-01-03","00:12:39",10.357,0
"2022-01-03","01:12:39",9.669,0
"2022-01-03","02:12:39",9.669,0
"2022-01-03","03:12:39",8.879,0
