"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-29","12:54:19",16.141,495.1
"2021-12-29","13:54:19",5.552,667.4
"2021-12-29","14:54:19",5.655,333.7
"2021-12-29","15:54:19",5.45,21.5
"2021-12-29","16:54:19",5.141,0
"2021-12-29","17:54:19",4.934,0
"2021-12-29","18:54:19",4.727,0
"2021-12-29","19:54:19",4.623,0
"2021-12-29","20:54:19",4.727,0
"2021-12-29","21:54:19",4.519,0
"2021-12-29","22:54:19",4.415,0
"2021-12-29","23:54:19",4.623,0
"2021-12-30","00:54:19",4.519,0
"2021-12-30","01:54:19",4.727,0
"2021-12-30","02:54:19",4.934,0
"2021-12-30","03:54:19",5.244,0
"2021-12-30","04:54:19",5.86,0
"2021-12-30","05:54:19",6.877,0
"2021-12-30","06:54:19",7.582,0
"2021-12-30","07:54:19",7.481,10.8
"2021-12-30","08:54:19",7.381,592
"2021-12-30","09:54:19",7.682,1108.7
"2021-12-30","10:54:19",8.581,1550
"2021-12-30","11:54:19",8.68,1722.2
"2021-12-30","12:54:19",8.978,1334.7
"2021-12-30","13:54:19",9.176,785.8
"2021-12-30","14:54:19",9.472,387.5
"2021-12-30","15:54:19",9.866,21.5
"2021-12-30","16:54:19",10.651,0
"2021-12-30","17:54:19",12.013,0
"2021-12-30","18:54:19",12.207,0
"2021-12-30","19:54:19",12.304,0
"2021-12-30","20:54:19",12.401,0
"2021-12-30","21:54:19",12.401,0
"2021-12-30","22:54:19",12.594,0
"2021-12-30","23:54:19",12.594,0
"2021-12-31","00:54:19",12.594,0
"2021-12-31","01:54:19",12.497,0
"2021-12-31","02:54:19",13.076,0
"2021-12-31","03:54:19",12.98,0
"2021-12-31","04:54:19",12.98,0
"2021-12-31","05:54:19",12.883,0
"2021-12-31","06:54:19",12.98,0
"2021-12-31","07:54:19",13.076,0
"2021-12-31","08:54:19",13.365,785.8
"2021-12-31","09:54:19",13.846,3100
"2021-12-31","10:54:19",14.038,2066.7
"2021-12-31","11:54:19",13.461,1550
"2021-12-31","12:54:19",13.654,527.4
"2021-12-31","13:54:19",14.325,1463.9
"2021-12-31","14:54:19",14.134,785.8
"2021-12-31","15:54:19",13.942,96.9
"2021-12-31","16:54:19",13.269,0
"2021-12-31","17:54:19",11.819,0
"2021-12-31","18:54:19",11.431,0
"2021-12-31","19:54:19",11.625,0
"2021-12-31","20:54:19",11.625,0
"2021-12-31","21:54:19",11.819,0
"2021-12-31","22:54:19",11.819,0
"2021-12-31","23:54:19",11.916,0
"2022-01-01","00:54:19",11.819,0
"2022-01-01","01:54:19",11.916,0
"2022-01-01","02:54:19",11.819,0
"2022-01-01","03:54:19",11.722,0
"2022-01-01","04:54:19",11.528,0
"2022-01-01","05:54:19",11.722,0
"2022-01-01","06:54:19",11.722,0
"2022-01-01","07:54:19",11.819,0
"2022-01-01","08:54:19",11.916,269.1
"2022-01-01","09:54:19",12.401,1722.2
"2022-01-01","10:54:19",12.594,1722.2
"2022-01-01","11:54:19",12.594,1377.8
"2022-01-01","12:54:19",13.558,4650
"2022-01-01","13:54:19",13.076,1808.3
"2022-01-01","14:54:19",12.69,624.3
"2022-01-01","15:54:19",12.304,312.2
"2022-01-01","16:54:19",11.236,0
"2022-01-01","17:54:19",11.431,0
"2022-01-01","18:54:19",11.528,0
"2022-01-01","19:54:19",11.722,0
"2022-01-01","20:54:19",11.431,0
"2022-01-01","21:54:19",10.553,0
"2022-01-01","22:54:19",10.651,0
"2022-01-01","23:54:19",10.553,0
"2022-01-02","00:54:19",9.866,0
"2022-01-02","01:54:19",9.077,0
