"Date","Time","Temp_Celsius","Intensity_Lux"
"2022-07-26","11:07:09",27.37,10333.4
"2022-07-26","12:07:09",27.764,3444.5
"2022-07-26","13:07:09",26.781,2755.6
"2022-07-26","14:07:09",23.869,1894.5
"2022-07-26","15:07:09",18.331,1550
"2022-07-26","16:07:09",20.329,3444.5
"2022-07-26","17:07:09",21.569,3100
"2022-07-26","18:07:09",21.187,904.2
"2022-07-26","19:07:09",20.329,1151.7
"2022-07-26","20:07:09",19.472,312.2
"2022-07-26","21:07:09",18.045,21.5
"2022-07-26","22:07:09",16.999,0
"2022-07-26","23:07:09",16.427,0
"2022-07-27","00:07:09",16.903,0
"2022-07-27","01:07:09",16.713,0
"2022-07-27","02:07:09",15.951,0
"2022-07-27","03:07:09",14.517,0
"2022-07-27","04:07:09",13.173,0
"2022-07-27","05:07:09",12.11,10.8
"2022-07-27","06:07:09",12.207,312.2
"2022-07-27","07:07:09",13.75,1377.8
"2022-07-27","08:07:09",14.517,1463.9
"2022-07-27","09:07:09",17.665,3100
"2022-07-27","10:07:09",19.092,2755.6
"2022-07-27","11:07:09",19.853,3444.5
"2022-07-27","12:07:09",18.711,3272.2
"2022-07-27","13:07:09",23.869,5338.9
"2022-07-27","14:07:09",21.855,3100
"2022-07-27","15:07:09",23.196,4822.3
"2022-07-27","16:07:09",24.641,3100
"2022-07-27","17:07:09",21.76,2497.2
"2022-07-27","18:07:09",21.378,2325
"2022-07-27","19:07:09",20.234,624.3
"2022-07-27","20:07:09",18.521,322.9
"2022-07-27","21:07:09",16.523,21.5
"2022-07-27","22:07:09",14.996,0
"2022-07-27","23:07:09",14.9,0
"2022-07-28","00:07:09",13.654,0
"2022-07-28","01:07:09",12.594,0
"2022-07-28","02:07:09",11.819,0
"2022-07-28","03:07:09",11.139,0
"2022-07-28","04:07:09",10.748,0
"2022-07-28","05:07:09",10.259,0
"2022-07-28","06:07:09",10.357,172.2
"2022-07-28","07:07:09",12.594,1087.2
"2022-07-28","08:07:09",14.9,1205.6
"2022-07-28","09:07:09",17.57,1894.5
"2022-07-28","10:07:09",19.948,4305.6
"2022-07-28","11:07:09",22.046,5166.7
"2022-07-28","12:07:09",25.708,8266.7
"2022-07-28","13:07:09",28.754,2669.5
"2022-07-28","14:07:09",27.272,11022.3
"2022-07-28","15:07:09",27.468,12400.1
"2022-07-28","16:07:09",27.862,6544.5
"2022-07-28","17:07:09",23.966,2152.8
"2022-07-28","18:07:09",22.717,1097.9
"2022-07-28","19:07:09",21.473,538.2
"2022-07-28","20:07:09",19.948,462.9
"2022-07-28","21:07:09",17.95,0
"2022-07-28","22:07:09",16.427,0
"2022-07-28","23:07:09",15.76,0
"2022-07-29","00:07:09",16.046,0
"2022-07-29","01:07:09",15.091,0
"2022-07-29","02:07:09",14.421,0
"2022-07-29","03:07:09",14.613,0
"2022-07-29","04:07:09",14.23,0
"2022-07-29","05:07:09",14.421,43.1
"2022-07-29","06:07:09",14.996,538.2
"2022-07-29","07:07:09",15.664,990.3
"2022-07-29","08:07:09",17.379,2411.1
"2022-07-29","09:07:09",19.377,2238.9
"2022-07-29","10:07:09",22.717,3788.9
"2022-07-29","11:07:09",24.738,4305.6
"2022-07-29","12:07:09",29.053,5166.7
"2022-07-29","13:07:09",28.655,3961.1
"2022-07-29","14:07:09",31.676,9300.1
"2022-07-29","15:07:09",31.778,10333.4
"2022-07-29","16:07:09",31.166,5166.7
"2022-07-29","17:07:09",27.961,925.7
"2022-07-29","18:07:09",26.977,1377.8
"2022-07-29","19:07:09",25.805,818.1
"2022-07-29","20:07:09",24.062,215.3
"2022-07-29","21:07:09",22.525,32.3
"2022-07-29","22:07:09",21.187,0
"2022-07-29","23:07:09",20.71,0
"2022-07-30","00:07:09",19.853,0
"2022-07-30","01:07:09",18.996,0
"2022-07-30","02:07:09",18.331,0
"2022-07-30","03:07:09",17.95,0
"2022-07-30","04:07:09",17.855,0
"2022-07-30","05:07:09",17.475,0
"2022-07-30","06:07:09",17.189,236.8
"2022-07-30","07:07:09",17.76,990.3
"2022-07-30","08:07:09",19.472,1550
"2022-07-30","09:07:09",20.901,2325
"2022-07-30","10:07:09",22.429,3788.9
"2022-07-30","11:07:09",24.351,5338.9
"2022-07-30","12:07:09",26.097,6200
"2022-07-30","13:07:09",27.567,8266.7
"2022-07-30","14:07:09",30.054,10677.8
"2022-07-30","15:07:09",32.704,10333.4
"2022-07-30","16:07:09",30.356,6544.5
"2022-07-30","17:07:09",26.488,2497.2
"2022-07-30","18:07:09",25.222,1162.5
"2022-07-30","19:07:09",23.966,559.7
"2022-07-30","20:07:09",22.142,193.8
"2022-07-30","21:07:09",19.758,10.8
"2022-07-30","22:07:09",20.138,0
"2022-07-30","23:07:09",18.045,0
