"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-11-18","17:19:41",15.664,0
"2021-11-18","18:19:41",9.176,0
"2021-11-18","19:19:41",8.382,0
"2021-11-18","20:19:41",8.182,0
"2021-11-18","21:19:41",8.182,0
"2021-11-18","22:19:41",8.382,0
"2021-11-18","23:19:41",9.077,0
"2021-11-19","00:19:41",9.866,0
"2021-11-19","01:19:41",10.063,0
"2021-11-19","02:19:41",10.259,0
"2021-11-19","03:19:41",10.553,0
"2021-11-19","04:19:41",10.944,0
"2021-11-19","05:19:41",10.944,0
"2021-11-19","06:19:41",10.944,0
"2021-11-19","07:19:41",11.431,0
"2021-11-19","08:19:41",11.625,183
"2021-11-19","09:19:41",12.013,882.6
"2021-11-19","10:19:41",12.11,495.1
"2021-11-19","11:19:41",12.11,484.4
"2021-11-19","12:19:41",12.401,850.4
"2021-11-19","13:19:41",12.883,645.8
"2021-11-19","14:19:41",12.98,538.2
"2021-11-19","15:19:41",13.269,495.1
"2021-11-19","16:19:41",13.173,0
"2021-11-19","17:19:41",12.98,0
"2021-11-19","18:19:41",12.98,0
"2021-11-19","19:19:41",12.69,0
"2021-11-19","20:19:41",12.69,0
"2021-11-19","21:19:41",12.594,0
"2021-11-19","22:19:41",12.401,0
"2021-11-19","23:19:41",12.207,0
"2021-11-20","00:19:41",12.401,0
"2021-11-20","01:19:41",12.304,0
"2021-11-20","02:19:41",12.207,0
"2021-11-20","03:19:41",12.11,0
"2021-11-20","04:19:41",11.916,0
"2021-11-20","05:19:41",11.528,0
"2021-11-20","06:19:41",11.431,0
"2021-11-20","07:19:41",11.431,0
"2021-11-20","08:19:41",11.041,75.3
"2021-11-20","09:19:41",10.944,785.8
"2021-11-20","10:19:41",12.013,2497.2
"2021-11-20","11:19:41",12.207,2411.1
"2021-11-20","12:19:41",12.497,1722.2
"2021-11-20","13:19:41",12.013,505.9
"2021-11-20","14:19:41",12.401,958
"2021-11-20","15:19:41",12.013,527.4
"2021-11-20","16:19:41",11.625,21.5
"2021-11-20","17:19:41",11.431,0
"2021-11-20","18:19:41",11.334,0
"2021-11-20","19:19:41",11.236,0
"2021-11-20","20:19:41",10.846,0
"2021-11-20","21:19:41",10.553,0
"2021-11-20","22:19:41",10.357,0
"2021-11-20","23:19:41",10.259,0
"2021-11-21","00:19:41",10.357,0
"2021-11-21","01:19:41",10.063,0
"2021-11-21","02:19:41",9.965,0
"2021-11-21","03:19:41",9.768,0
"2021-11-21","04:19:41",9.571,0
"2021-11-21","05:19:41",9.472,0
"2021-11-21","06:19:41",9.275,0
"2021-11-21","07:19:41",8.978,0
"2021-11-21","08:19:41",9.077,387.5
"2021-11-21","09:19:41",8.282,1377.8
"2021-11-21","10:19:41",8.182,678.1
"2021-11-21","11:19:41",8.481,990.3
"2021-11-21","12:19:41",8.978,1033.3
"2021-11-21","13:19:41",9.275,1463.9
"2021-11-21","14:19:41",9.571,1463.9
"2021-11-21","15:19:41",9.373,936.5
"2021-11-21","16:19:41",8.282,0
"2021-11-21","17:19:41",7.381,0
"2021-11-21","18:19:41",8.082,0
"2021-11-21","19:19:41",7.179,0
"2021-11-21","20:19:41",6.573,0
"2021-11-21","21:19:41",6.573,0
"2021-11-21","22:19:41",6.268,0
"2021-11-21","23:19:41",5.347,0
"2021-11-22","00:19:41",5.962,0
"2021-11-22","01:19:41",5.757,0
"2021-11-22","02:19:41",5.347,0
"2021-11-22","03:19:41",4.934,0
"2021-11-22","04:19:41",5.552,0
"2021-11-22","05:19:41",5.552,0
"2021-11-22","06:19:41",5.037,0
"2021-11-22","07:19:41",4.102,0
"2021-11-22","08:19:41",3.472,688.9
"2021-11-22","09:19:41",3.788,1205.6
"2021-11-22","10:19:41",4.415,1377.8
"2021-11-22","11:19:41",5.86,3444.5
"2021-11-22","12:19:41",12.401,41333.6
"2021-11-22","13:19:41",8.382,8266.7
"2021-11-22","14:19:41",6.37,2238.9
"2021-11-22","15:19:41",5.244,516.7
"2021-11-22","16:19:41",4.623,64.6
"2021-11-22","17:19:41",4.102,0
"2021-11-22","18:19:41",3.472,0
"2021-11-22","19:19:41",3.155,0
"2021-11-22","20:19:41",2.517,0
"2021-11-22","21:19:41",1.439,0
"2021-11-22","22:19:41",1.764,0
"2021-11-22","23:19:41",1.764,0
"2021-11-23","00:19:41",1.98,0
"2021-11-23","01:19:41",2.303,0
"2021-11-23","02:19:41",1.98,0
"2021-11-23","03:19:41",2.303,0
"2021-11-23","04:19:41",3.367,0
"2021-11-23","05:19:41",3.893,0
"2021-11-23","06:19:41",4.102,0
"2021-11-23","07:19:41",4.519,0
"2021-11-23","08:19:41",4.934,366
"2021-11-23","09:19:41",5.347,602.8
"2021-11-23","10:19:41",5.86,914.9
"2021-11-23","11:19:41",6.166,667.4
"2021-11-23","12:19:41",6.674,1141
"2021-11-23","13:19:41",7.179,1463.9
"2021-11-23","14:19:41",7.28,1173.3
"2021-11-23","15:19:41",7.28,269.1
"2021-11-23","16:19:41",7.381,10.8
"2021-11-23","17:19:41",7.381,0
"2021-11-23","18:19:41",7.381,0
"2021-11-23","19:19:41",7.381,0
"2021-11-23","20:19:41",7.179,0
"2021-11-23","21:19:41",7.28,0
"2021-11-23","22:19:41",7.481,0
"2021-11-23","23:19:41",7.28,0
"2021-11-24","00:19:41",7.179,0
"2021-11-24","01:19:41",7.28,0
"2021-11-24","02:19:41",7.28,0
"2021-11-24","03:19:41",7.179,0
"2021-11-24","04:19:41",6.978,0
"2021-11-24","05:19:41",6.978,0
"2021-11-24","06:19:41",6.978,0
"2021-11-24","07:19:41",6.978,0
"2021-11-24","08:19:41",7.28,344.4
"2021-11-24","09:19:41",7.481,1808.3
"2021-11-24","10:19:41",7.481,699.7
"2021-11-24","11:19:41",7.782,1808.3
"2021-11-24","12:19:41",8.282,1550
"2021-11-24","13:19:41",7.782,1463.9
"2021-11-24","14:19:41",8.182,1076.4
"2021-11-24","15:19:41",7.782,344.4
"2021-11-24","16:19:41",7.481,0
"2021-11-24","17:19:41",7.481,0
"2021-11-24","18:19:41",7.381,0
"2021-11-24","19:19:41",7.179,0
"2021-11-24","20:19:41",7.179,0
"2021-11-24","21:19:41",7.079,0
"2021-11-24","22:19:41",6.877,0
"2021-11-24","23:19:41",6.775,0
"2021-11-25","00:19:41",6.573,0
"2021-11-25","01:19:41",6.37,0
"2021-11-25","02:19:41",6.37,0
"2021-11-25","03:19:41",6.166,0
"2021-11-25","04:19:41",5.655,0
"2021-11-25","05:19:41",5.45,0
"2021-11-25","06:19:41",5.037,0
"2021-11-25","07:19:41",4.831,0
"2021-11-25","08:19:41",4.623,441.3
"2021-11-25","09:19:41",4.934,1463.9
"2021-11-25","10:19:41",5.141,2066.7
"2021-11-25","11:19:41",5.141,2152.8
"2021-11-25","12:19:41",4.934,1377.8
"2021-11-25","13:19:41",4.934,1184
"2021-11-25","14:19:41",5.037,678.1
"2021-11-25","15:19:41",4.519,1033.3
"2021-11-25","16:19:41",3.998,0
"2021-11-25","17:19:41",4.207,0
"2021-11-25","18:19:41",4.207,0
"2021-11-25","19:19:41",4.415,0
"2021-11-25","20:19:41",4.831,0
"2021-11-25","21:19:41",5.141,0
"2021-11-25","22:19:41",5.244,0
"2021-11-25","23:19:41",5.45,0
"2021-11-26","00:19:41",5.45,0
"2021-11-26","01:19:41",5.347,0
"2021-11-26","02:19:41",5.244,0
"2021-11-26","03:19:41",5.244,0
"2021-11-26","04:19:41",5.141,0
"2021-11-26","05:19:41",5.141,0
"2021-11-26","06:19:41",5.037,0
"2021-11-26","07:19:41",5.037,0
"2021-11-26","08:19:41",5.037,279.9
"2021-11-26","09:19:41",5.45,1636.1
"2021-11-26","10:19:41",6.37,4822.3
"2021-11-26","11:19:41",6.674,4477.8
"2021-11-26","12:19:41",6.877,5166.7
"2021-11-26","13:19:41",8.68,9300.1
"2021-11-26","14:19:41",6.268,1980.6
"2021-11-26","15:19:41",5.244,656.6
"2021-11-26","16:19:41",4.934,0
"2021-11-26","17:19:41",4.831,0
"2021-11-26","18:19:41",4.415,0
"2021-11-26","19:19:41",4.311,0
"2021-11-26","20:19:41",4.102,0
"2021-11-26","21:19:41",3.683,0
"2021-11-26","22:19:41",3.788,0
"2021-11-26","23:19:41",3.261,0
"2021-11-27","00:19:41",2.837,0
"2021-11-27","01:19:41",2.837,0
"2021-11-27","02:19:41",2.41,0
"2021-11-27","03:19:41",1.548,0
"2021-11-27","04:19:41",1.439,0
"2021-11-27","05:19:41",1.221,0
"2021-11-27","06:19:41",1.548,0
"2021-11-27","07:19:41",1.33,0
"2021-11-27","08:19:41",1.872,1636.1
"2021-11-27","09:19:41",3.472,3444.5
"2021-11-27","10:19:41",3.998,2583.4
"2021-11-27","11:19:41",4.623,3100
"2021-11-27","12:19:41",4.727,1980.6
"2021-11-27","13:19:41",4.519,1550
"2021-11-27","14:19:41",3.261,785.8
"2021-11-27","15:19:41",2.837,150.7
"2021-11-27","16:19:41",2.517,0
"2021-11-27","17:19:41",2.303,0
"2021-11-27","18:19:41",1.548,0
"2021-11-27","19:19:41",1.33,0
"2021-11-27","20:19:41",1.98,0
"2021-11-27","21:19:41",2.41,0
"2021-11-27","22:19:41",2.624,0
"2021-11-27","23:19:41",2.73,0
"2021-11-28","00:19:41",2.837,0
"2021-11-28","01:19:41",2.517,0
"2021-11-28","02:19:41",2.088,0
"2021-11-28","03:19:41",2.73,0
"2021-11-28","04:19:41",2.837,0
"2021-11-28","05:19:41",2.517,0
"2021-11-28","06:19:41",1.33,0
"2021-11-28","07:19:41",0.343,0
"2021-11-28","08:19:41",-0.102,366
"2021-11-28","09:19:41",0.453,1722.2
"2021-11-28","10:19:41",1.112,2238.9
"2021-11-28","11:19:41",2.303,2325
"2021-11-28","12:19:41",7.481,22044.6
"2021-11-28","13:19:41",6.064,9644.5
"2021-11-28","14:19:41",4.311,2411.1
"2021-11-28","15:19:41",3.261,1130.2
"2021-11-28","16:19:41",1.872,10.8
"2021-11-28","17:19:41",1.221,0
"2021-11-28","18:19:41",1.548,0
"2021-11-28","19:19:41",1.656,0
"2021-11-28","20:19:41",1.33,0
"2021-11-28","21:19:41",1.003,0
"2021-11-28","22:19:41",1.33,0
"2021-11-28","23:19:41",1.764,0
"2021-11-29","00:19:41",2.41,0
"2021-11-29","01:19:41",2.624,0
"2021-11-29","02:19:41",2.624,0
"2021-11-29","03:19:41",2.624,0
"2021-11-29","04:19:41",1.98,0
"2021-11-29","05:19:41",2.195,0
"2021-11-29","06:19:41",2.41,0
"2021-11-29","07:19:41",2.624,0
"2021-11-29","08:19:41",2.624,226
"2021-11-29","09:19:41",2.73,409
"2021-11-29","10:19:41",2.943,1194.8
"2021-11-29","11:19:41",3.049,527.4
"2021-11-29","12:19:41",3.998,5338.9
"2021-11-29","13:19:41",3.998,1980.6
"2021-11-29","14:19:41",4.727,2583.4
"2021-11-29","15:19:41",3.998,1119.5
"2021-11-29","16:19:41",3.155,0
"2021-11-29","17:19:41",2.624,0
"2021-11-29","18:19:41",2.73,0
"2021-11-29","19:19:41",2.73,0
"2021-11-29","20:19:41",2.943,0
"2021-11-29","21:19:41",2.41,0
"2021-11-29","22:19:41",2.73,0
"2021-11-29","23:19:41",2.837,0
"2021-11-30","00:19:41",2.943,0
"2021-11-30","01:19:41",2.943,0
"2021-11-30","02:19:41",2.837,0
"2021-11-30","03:19:41",2.73,0
"2021-11-30","04:19:41",2.624,0
"2021-11-30","05:19:41",2.517,0
"2021-11-30","06:19:41",1.548,0
"2021-11-30","07:19:41",1.764,0
"2021-11-30","08:19:41",1.98,129.2
"2021-11-30","09:19:41",2.088,344.4
"2021-11-30","10:19:41",2.41,570.5
"2021-11-30","11:19:41",3.367,678.1
"2021-11-30","12:19:41",4.623,914.9
"2021-11-30","13:19:41",5.141,484.4
"2021-11-30","14:19:41",5.962,366
"2021-11-30","15:19:41",5.962,1722.2
"2021-11-30","16:19:41",6.268,0
"2021-11-30","17:19:41",6.268,0
"2021-11-30","18:19:41",5.037,0
"2021-11-30","19:19:41",5.244,0
"2021-11-30","20:19:41",5.244,0
"2021-11-30","21:19:41",3.998,0
"2021-11-30","22:19:41",3.893,0
"2021-11-30","23:19:41",3.472,0
"2021-12-01","00:19:41",2.943,0
"2021-12-01","01:19:41",3.049,0
"2021-12-01","02:19:41",2.41,0
"2021-12-01","03:19:41",2.73,0
"2021-12-01","04:19:41",2.943,0
"2021-12-01","05:19:41",3.367,0
"2021-12-01","06:19:41",3.472,0
