"Date","Time","Temp_Celsius","Intensity_Lux"
"2022-04-11","12:07:44",17.189,121245.2
"2022-04-11","13:07:44",16.332,34444.7
"2022-04-11","14:07:44",14.134,9300.1
"2022-04-11","15:07:44",16.903,33066.9
"2022-04-11","16:07:44",18.996,28933.5
"2022-04-11","17:07:44",17.57,26178
"2022-04-11","18:07:44",12.207,2238.9
"2022-04-11","19:07:44",11.139,958
"2022-04-11","20:07:44",9.373,32.3
"2022-04-11","21:07:44",8.082,0
"2022-04-11","22:07:44",6.573,0
"2022-04-11","23:07:44",6.471,0
"2022-04-12","00:07:44",5.552,0
"2022-04-12","01:07:44",4.623,0
"2022-04-12","02:07:44",4.207,0
"2022-04-12","03:07:44",3.472,0
"2022-04-12","04:07:44",2.943,0
"2022-04-12","05:07:44",2.41,0
"2022-04-12","06:07:44",2.088,161.5
"2022-04-12","07:07:44",2.943,4650
"2022-04-12","08:07:44",8.879,24800.2
"2022-04-12","09:07:44",11.041,22044.6
"2022-04-12","10:07:44",15.855,33066.9
"2022-04-12","11:07:44",16.237,20666.8
"2022-04-12","12:07:44",17.284,23422.4
"2022-04-12","13:07:44",18.996,23422.4
"2022-04-12","14:07:44",19.567,22044.6
"2022-04-12","15:07:44",21.569,28933.5
"2022-04-12","16:07:44",21.951,26178
"2022-04-12","17:07:44",20.138,17222.3
"2022-04-12","18:07:44",16.713,4305.6
"2022-04-12","19:07:44",15.378,1130.2
"2022-04-12","20:07:44",14.038,21.5
"2022-04-12","21:07:44",12.787,0
"2022-04-12","22:07:44",12.11,0
"2022-04-12","23:07:44",11.236,0
"2022-04-13","00:07:44",10.063,0
"2022-04-13","01:07:44",9.176,0
"2022-04-13","02:07:44",8.581,0
"2022-04-13","03:07:44",8.082,0
"2022-04-13","04:07:44",7.28,0
"2022-04-13","05:07:44",6.573,0
"2022-04-13","06:07:44",6.064,139.9
"2022-04-13","07:07:44",7.079,3788.9
"2022-04-13","08:07:44",10.748,15844.5
"2022-04-13","09:07:44",13.558,22044.6
"2022-04-13","10:07:44",16.427,22044.6
"2022-04-13","11:07:44",20.138,30311.3
"2022-04-13","12:07:44",21.855,21355.7
"2022-04-13","13:07:44",24.062,28933.5
"2022-04-13","14:07:44",25.708,28933.5
"2022-04-13","15:07:44",25.902,22044.6
"2022-04-13","16:07:44",25.319,16533.4
"2022-04-13","17:07:44",23.581,7233.4
"2022-04-13","18:07:44",22.333,4650
"2022-04-13","19:07:44",20.996,2066.7
"2022-04-13","20:07:44",17.855,21.5
"2022-04-13","21:07:44",15.855,0
"2022-04-13","22:07:44",15.187,0
"2022-04-13","23:07:44",13.654,0
"2022-04-14","00:07:44",12.98,0
"2022-04-14","01:07:44",12.401,0
"2022-04-14","02:07:44",11.625,0
"2022-04-14","03:07:44",10.651,0
"2022-04-14","04:07:44",9.965,0
"2022-04-14","05:07:44",10.944,0
"2022-04-14","06:07:44",11.528,32.3
"2022-04-14","07:07:44",12.013,2066.7
