"Date","Time","Temp_Celsius","Intensity_Lux"
"2021-12-29","10:46:14",16.999,2583.4
"2021-12-29","11:46:14",5.655,839.6
"2021-12-29","12:46:14",5.757,688.9
"2021-12-29","13:46:14",5.757,785.8
"2021-12-29","14:46:14",5.45,301.4
"2021-12-29","15:46:14",5.244,32.3
"2021-12-29","16:46:14",5.141,0
"2021-12-29","17:46:14",4.934,0
"2021-12-29","18:46:14",4.727,0
"2021-12-29","19:46:14",4.623,0
"2021-12-29","20:46:14",4.623,0
"2021-12-29","21:46:14",4.727,0
"2021-12-29","22:46:14",4.831,0
"2021-12-29","23:46:14",4.831,0
"2021-12-30","00:46:14",4.727,0
"2021-12-30","01:46:14",5.037,0
"2021-12-30","02:46:14",5.141,0
"2021-12-30","03:46:14",5.45,0
"2021-12-30","04:46:14",6.268,0
"2021-12-30","05:46:14",6.978,0
"2021-12-30","06:46:14",7.381,0
"2021-12-30","07:46:14",7.782,0
"2021-12-30","08:46:14",7.882,301.4
"2021-12-30","09:46:14",8.581,462.9
"2021-12-30","10:46:14",9.077,742.7
"2021-12-30","11:46:14",9.077,2325
"2021-12-30","12:46:14",9.373,1033.3
"2021-12-30","13:46:14",9.373,1151.7
"2021-12-30","14:46:14",9.571,312.2
"2021-12-30","15:46:14",10.259,64.6
"2021-12-30","16:46:14",11.236,0
"2021-12-30","17:46:14",11.819,0
"2021-12-30","18:46:14",12.013,0
"2021-12-30","19:46:14",12.207,0
"2021-12-30","20:46:14",12.304,0
"2021-12-30","21:46:14",12.304,0
"2021-12-30","22:46:14",12.401,0
"2021-12-30","23:46:14",12.497,0
"2021-12-31","00:46:14",12.594,0
"2021-12-31","01:46:14",12.401,0
"2021-12-31","02:46:14",12.787,0
"2021-12-31","03:46:14",12.69,0
"2021-12-31","04:46:14",12.497,0
"2021-12-31","05:46:14",12.69,0
"2021-12-31","06:46:14",12.883,0
"2021-12-31","07:46:14",12.98,0
"2021-12-31","08:46:14",13.076,484.4
"2021-12-31","09:46:14",13.558,1377.8
"2021-12-31","10:46:14",13.654,1334.7
"2021-12-31","11:46:14",13.846,775
"2021-12-31","12:46:14",13.942,914.9
"2021-12-31","13:46:14",14.23,1237.9
"2021-12-31","14:46:14",14.23,861.1
"2021-12-31","15:46:14",14.134,462.9
"2021-12-31","16:46:14",14.038,0
"2021-12-31","17:46:14",12.304,0
"2021-12-31","18:46:14",11.528,0
"2021-12-31","19:46:14",11.625,0
"2021-12-31","20:46:14",11.722,0
"2021-12-31","21:46:14",11.916,0
"2021-12-31","22:46:14",11.916,0
"2021-12-31","23:46:14",11.916,0
"2022-01-01","00:46:14",11.916,0
"2022-01-01","01:46:14",12.11,0
"2022-01-01","02:46:14",12.013,0
"2022-01-01","03:46:14",11.916,0
"2022-01-01","04:46:14",11.722,0
"2022-01-01","05:46:14",11.625,0
"2022-01-01","06:46:14",11.625,0
"2022-01-01","07:46:14",11.722,0
"2022-01-01","08:46:14",11.819,172.2
"2022-01-01","09:46:14",12.013,1022.6
"2022-01-01","10:46:14",12.497,1550
"2022-01-01","11:46:14",12.594,1636.1
"2022-01-01","12:46:14",12.98,2325
"2022-01-01","13:46:14",12.69,667.4
"2022-01-01","14:46:14",12.594,635.1
"2022-01-01","15:46:14",12.304,236.8
"2022-01-01","16:46:14",12.207,0
"2022-01-01","17:46:14",12.401,0
"2022-01-01","18:46:14",12.401,0
"2022-01-01","19:46:14",12.11,0
"2022-01-01","20:46:14",12.11,0
"2022-01-01","21:46:14",11.528,0
"2022-01-01","22:46:14",11.334,0
"2022-01-01","23:46:14",10.944,0
"2022-01-02","00:46:14",10.651,0
"2022-01-02","01:46:14",9.669,0
"2022-01-02","02:46:14",9.275,0
"2022-01-02","03:46:14",8.581,0
"2022-01-02","04:46:14",8.581,0
"2022-01-02","05:46:14",8.779,0
"2022-01-02","06:46:14",8.382,0
"2022-01-02","07:46:14",8.382,0
"2022-01-02","08:46:14",8.978,505.9
