"Date","Time","Temp_Celsius","Intensity_Lux"
"2022-07-26","12:08:37",27.764,28933.5
"2022-07-26","13:08:37",30.659,17222.3
"2022-07-26","14:08:37",24.448,1636.1
"2022-07-26","15:08:37",18.426,3100
"2022-07-26","16:08:37",20.996,7233.4
"2022-07-26","17:08:37",23.869,7577.8
"2022-07-26","18:08:37",23.196,18600.1
"2022-07-26","19:08:37",26.097,11022.3
"2022-07-26","20:08:37",23.196,9300.1
"2022-07-26","21:08:37",19.853,129.2
"2022-07-26","22:08:37",18.331,0
"2022-07-26","23:08:37",17.475,0
"2022-07-27","00:08:37",17.57,0
"2022-07-27","01:08:37",16.903,0
"2022-07-27","02:08:37",16.332,0
"2022-07-27","03:08:37",14.613,0
"2022-07-27","04:08:37",13.461,0
"2022-07-27","05:08:37",12.594,64.6
"2022-07-27","06:08:37",12.98,818.1
"2022-07-27","07:08:37",14.613,3444.5
"2022-07-27","08:08:37",19.187,10333.4
"2022-07-27","09:08:37",19.377,6200
"2022-07-27","10:08:37",18.711,4650
"2022-07-27","11:08:37",23.1,6200
"2022-07-27","12:08:37",22.046,7577.8
"2022-07-27","13:08:37",21.378,7577.8
"2022-07-27","14:08:37",22.908,10333.4
"2022-07-27","15:08:37",22.142,5511.1
"2022-07-27","16:08:37",22.429,6200
"2022-07-27","17:08:37",21.76,4650
"2022-07-27","18:08:37",22.142,5166.7
"2022-07-27","19:08:37",21.664,6200
"2022-07-27","20:08:37",23.1,7577.8
"2022-07-27","21:08:37",18.14,129.2
"2022-07-27","22:08:37",16.903,0
"2022-07-27","23:08:37",16.046,0
"2022-07-28","00:08:37",13.558,0
"2022-07-28","01:08:37",12.883,0
"2022-07-28","02:08:37",12.11,0
"2022-07-28","03:08:37",11.625,0
"2022-07-28","04:08:37",10.455,0
"2022-07-28","05:08:37",10.161,43.1
"2022-07-28","06:08:37",10.651,710.4
"2022-07-28","07:08:37",13.173,1722.2
"2022-07-28","08:08:37",20.043,9644.5
"2022-07-28","09:08:37",21.569,9644.5
"2022-07-28","10:08:37",23.292,12400.1
"2022-07-28","11:08:37",24.931,16533.4
"2022-07-28","12:08:37",25.222,11711.2
"2022-07-28","13:08:37",26.977,16533.4
"2022-07-28","14:08:37",27.862,16533.4
